scenario_id,Segment_rejet,Crejet_mg_L,QRejet_m3_s,QSebou_m3_s,QInnaouen_m3_s,QOuergha_m3_s,C_SidiAllalTazi_mg_L,C_BgGarde_mg_L,Statut
SC_QR01_C01_QS01_QI01_QO01,Segment_Pollution_base,100,0.055555556,7.5,10,10,0.035751168,0.046694335,SUFFISANT
SC_QR01_C01_QS01_QI01_QO02,Segment_Pollution_base,100,0.055555556,7.5,10,25,0.024400273,0.016052267,SUFFISANT
SC_QR01_C01_QS01_QI01_QO03,Segment_Pollution_base,100,0.055555556,7.5,10,50,0.023184707,0.02100268,SUFFISANT
SC_QR01_C01_QS01_QI01_QO04,Segment_Pollution_base,100,0.055555556,7.5,10,100,0.010050861,0.01235737,SUFFISANT
SC_QR01_C01_QS01_QI01_QO05,Segment_Pollution_base,100,0.055555556,7.5,10,150,0.004454962,0.006112603,SUFFISANT
SC_QR01_C01_QS01_QI01_QO06,Segment_Pollution_base,100,0.055555556,7.5,10,200,0.003613132,0.003252814,SUFFISANT
SC_QR01_C01_QS01_QI01_QO07,Segment_Pollution_base,100,0.055555556,7.5,10,400,0.003572508,0.003074582,SUFFISANT
SC_QR01_C01_QS01_QI02_QO01,Segment_Pollution_base,100,0.055555556,7.5,25,10,0.023625525,0.034395989,SUFFISANT
SC_QR01_C01_QS01_QI02_QO02,Segment_Pollution_base,100,0.055555556,7.5,25,25,0.012123255,0.015088488,SUFFISANT
SC_QR01_C01_QS01_QI02_QO03,Segment_Pollution_base,100,0.055555556,7.5,25,50,0.017922802,0.011842795,SUFFISANT
SC_QR01_C01_QS01_QI02_QO04,Segment_Pollution_base,100,0.055555556,7.5,25,100,0.014686839,0.014223457,SUFFISANT
SC_QR01_C01_QS01_QI02_QO05,Segment_Pollution_base,100,0.055555556,7.5,25,150,0.009195901,0.010561673,SUFFISANT
SC_QR01_C01_QS01_QI02_QO06,Segment_Pollution_base,100,0.055555556,7.5,25,200,0.005703606,0.007176472,SUFFISANT
SC_QR01_C01_QS01_QI02_QO07,Segment_Pollution_base,100,0.055555556,7.5,25,400,0.001254186,0.001789953,SUFFISANT
SC_QR01_C01_QS01_QI03_QO01,Segment_Pollution_base,100,0.055555556,7.5,50,10,0.025273666,0.029656986,SUFFISANT
SC_QR01_C01_QS01_QI03_QO02,Segment_Pollution_base,100,0.055555556,7.5,50,25,0.015171229,0.021732442,SUFFISANT
SC_QR01_C01_QS01_QI03_QO03,Segment_Pollution_base,100,0.055555556,7.5,50,50,0.006147448,0.010869884,SUFFISANT
SC_QR01_C01_QS01_QI03_QO04,Segment_Pollution_base,100,0.055555556,7.5,50,100,0.004771486,0.002557839,SUFFISANT
SC_QR01_C01_QS01_QI03_QO05,Segment_Pollution_base,100,0.055555556,7.5,50,150,0.006658936,0.004083789,SUFFISANT
SC_QR01_C01_QS01_QI03_QO06,Segment_Pollution_base,100,0.055555556,7.5,50,200,0.007266293,0.005276467,SUFFISANT
SC_QR01_C01_QS01_QI03_QO07,Segment_Pollution_base,100,0.055555556,7.5,50,400,0.005329816,0.005223835,SUFFISANT
SC_QR01_C01_QS02_QI01_QO01,Segment_Pollution_base,100,0.055555556,15,10,10,0.043774378,0.035062671,SUFFISANT
SC_QR01_C01_QS02_QI01_QO02,Segment_Pollution_base,100,0.055555556,15,10,25,0.027673032,0.032256108,SUFFISANT
SC_QR01_C01_QS02_QI01_QO03,Segment_Pollution_base,100,0.055555556,15,10,50,0.009415217,0.014848413,SUFFISANT
SC_QR01_C01_QS02_QI01_QO04,Segment_Pollution_base,100,0.055555556,15,10,100,0.010702664,0.007388496,SUFFISANT
SC_QR01_C01_QS02_QI01_QO05,Segment_Pollution_base,100,0.055555556,15,10,150,0.010229062,0.008730923,SUFFISANT
SC_QR01_C01_QS02_QI01_QO06,Segment_Pollution_base,100,0.055555556,15,10,200,0.008457278,0.008114247,SUFFISANT
SC_QR01_C01_QS02_QI01_QO07,Segment_Pollution_base,100,0.055555556,15,10,400,0.003537401,0.004053296,SUFFISANT
SC_QR01_C01_QS02_QI02_QO01,Segment_Pollution_base,100,0.055555556,15,25,10,0.021280386,0.011396129,SUFFISANT
SC_QR01_C01_QS02_QI02_QO02,Segment_Pollution_base,100,0.055555556,15,25,25,0.025853213,0.01770133,SUFFISANT
SC_QR01_C01_QS02_QI02_QO03,Segment_Pollution_base,100,0.055555556,15,25,50,0.021802308,0.020802729,SUFFISANT
SC_QR01_C01_QS02_QI02_QO04,Segment_Pollution_base,100,0.055555556,15,25,100,0.009806724,0.012785708,SUFFISANT
SC_QR01_C01_QS02_QI02_QO05,Segment_Pollution_base,100,0.055555556,15,25,150,0.004309272,0.006454385,SUFFISANT
SC_QR01_C01_QS02_QI02_QO06,Segment_Pollution_base,100,0.055555556,15,25,200,0.00208006,0.003350141,SUFFISANT
SC_QR01_C01_QS02_QI02_QO07,Segment_Pollution_base,100,0.055555556,15,25,400,0.002703934,0.001884759,SUFFISANT
SC_QR01_C01_QS02_QI03_QO01,Segment_Pollution_base,100,0.055555556,15,50,10,0.013847839,0.021933161,SUFFISANT
SC_QR01_C01_QS02_QI03_QO02,Segment_Pollution_base,100,0.055555556,15,50,25,0.006914765,0.012935561,SUFFISANT
SC_QR01_C01_QS02_QI03_QO03,Segment_Pollution_base,100,0.055555556,15,50,50,0.004785105,0.005047102,SUFFISANT
SC_QR01_C01_QS02_QI03_QO04,Segment_Pollution_base,100,0.055555556,15,50,100,0.008603438,0.005000953,SUFFISANT
SC_QR01_C01_QS02_QI03_QO05,Segment_Pollution_base,100,0.055555556,15,50,150,0.009610501,0.00710021,SUFFISANT
SC_QR01_C01_QS02_QI03_QO06,Segment_Pollution_base,100,0.055555556,15,50,200,0.009008395,0.007727122,SUFFISANT
SC_QR01_C01_QS02_QI03_QO07,Segment_Pollution_base,100,0.055555556,15,50,400,0.004728313,0.005256971,SUFFISANT
