base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,hydro,barrage_bathymetrie,hydrologie,colonne_large,volume_mm3,volume mm3,,volume_mm3,à confirmer,62359,62359,0,0,0,0,4033.781,,,0,0.0001,0.0002,db,
abh_sad,hydro,mesure_barrage,hydrologie,colonne_large,volume_mm3,volume mm3,,volume_mm3,à confirmer,84831,10136,74695,0,0,0.00,257.99,1996-12-01 00:00:00+00,2025-09-01 00:00:00+00,0.00,0.02,0.03,db,
abh_sad,hydro,mesure_barrage,hydrologie,colonne_large,lacher_m3s,lacher m3s,,lacher_m3s,à confirmer,84831,0,84831,0,0,,,1996-12-01 00:00:00+00,2025-09-01 00:00:00+00,,,,db,
abh_sad,infra,barrages,pollution,colonne_large,apports_hm,apports hm,,apports_hm,à confirmer,34,23,11,0,0,0,2776,,,0,154,156,db,
abh_sad,infra,barrages,pollution,colonne_large,montant_md,montant md,,montant_md,à confirmer,34,23,11,0,0,31.5,9366,,,100,1000,1100,db,
abh_sad,infra,decharge,pollution,colonne_large,sup_tot_ha,sup tot ha,,sup_tot_ha,à confirmer,233,128,105,0,0,0.02,700, ,2023,0.02,0.03,0.05,db,
abh_sad,infra,decharge,pollution,colonne_large,sup_occupee_ha,sup occupee ha,,sup_occupee_ha,à confirmer,233,108,125,0,0,0.005,128, ,2023,0.005,0.01,0.02,db,
abh_sad,infra,decharge,pollution,colonne_large,quantite_t_j,quantite t j,,quantite_t_j,à confirmer,233,159,74,0,0,0.02,560, ,2023,0.02,0.04,0.05,db,
abh_sad,infra,decharge,pollution,colonne_large,station_traitement_lixiviat,station traitement lixiviat,,station_traitement_lixiviat,à confirmer,233,168,65,0,168,,, ,2023,Bioréacteurs à membrane,En cours d'exécution,Non,db,
abh_sad,infra,decharge,pollution,colonne_large,exit_puits,exit puits,,exit_puits,à confirmer,233,163,70,0,163,,, ,2023,Non,Oui,,db,
