source_document,page_pdf,type_eau,parametre_pdf,parametre_canonique_propose,unite_pdf,classe_1_libelle,classe_1_min,classe_1_max,classe_2_libelle,classe_2_min,classe_2_max,classe_3_libelle,classe_3_min,classe_3_max,classe_4_libelle,classe_4_min,classe_4_max,classe_5_libelle,classe_5_min,classe_5_max,sens_interpretation,commentaire_extraction,statut_validation
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Couleur (échelle Pt),Couleur,mg Pt/L,Excellente,,20,Bonne,20,50,Moyenne,50,100,Mauvaise,100,200,Très mauvaise,>200,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Odeur (dilu à 25° C),Odeur,,Excellente,,3,Bonne,3,10,Moyenne,10,20,Mauvaise,>20,,Très mauvaise,,,plus petit = meilleur,unité non indiquée dans le tableau,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Température,Température,°C,Excellente,,20,Bonne,20,25,Moyenne,25,30,Mauvaise,30,35,Très mauvaise,>35,,intervalle optimal,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,PH,pH,,Excellente,"6,5","8,5",Bonne,"6,5","8,5",Moyenne,"6,5","9,2",Mauvaise,,,Très mauvaise,,,intervalle optimal,classes 4 et 5 identiques dans le tableau,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Conductivité à 20° C,Conductivité,µs/cm,Excellente,,750,Bonne,750,1300,Moyenne,1300,2700,Mauvaise,2700,3000,Très mauvaise,>3000,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Chlorures (Cl-),Chlorures,mg/l,Excellente,,200,Bonne,200,300,Moyenne,300,750,Mauvaise,750,1000,Très mauvaise,>1000,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Sulfates (SO4-),Sulfates,mg/l,Excellente,,100,Bonne,100,200,Moyenne,200,250,Mauvaise,250,400,Très mauvaise,>400,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,MES,MES,mg/l,Excellente,,50,Bonne,50,200,Moyenne,200,1000,Mauvaise,1000,2000,Très mauvaise,>2000,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,O2 dissous,O2 dissous,mg/l,Excellente,>7,,Bonne,7,5,Moyenne,5,3,Mauvaise,3,1,Très mauvaise,,1,plus grand = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,DBO 5,DBO5,mg/l,Excellente,,3,Bonne,3,5,Moyenne,5,10,Mauvaise,10,25,Très mauvaise,>25,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,DCO,DCO,mg/l,Excellente,,30,Bonne,30,35,Moyenne,35,40,Mauvaise,40,80,Très mauvaise,>80,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Oxydabilité KMnO4,Oxydabilité KMnO4,mg/l,Excellente,,2,Bonne,2,5,Moyenne,5,10,Mauvaise,>10,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Nitrates (NO3-),Nitrates,mg/l,Excellente,,10,Bonne,10,25,Moyenne,25,50,Mauvaise,>50,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,NTK,NTK,mgN/l,Excellente,,1,Bonne,1,2,Moyenne,2,3,Mauvaise,>3,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Ammonium,Ammonium,mgNH4/l,Excellente,,"0,1",Bonne,"0,1","0,5",Moyenne,"0,5",2,Mauvaise,2,8,Très mauvaise,>8,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Baryum,Baryum,mg/l,Excellente,,"0,1",Bonne,"0,1","0,7",Moyenne,"0,7",1,Mauvaise,>1,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Phosphates (PO4--),Orthophosphates,mg/l,Excellente,,"0,2",Bonne,"0,2","0,5",Moyenne,"0,5",1,Mauvaise,1,5,Très mauvaise,>5,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,P total (Pt),P total,mg/l,Excellente,,"0,1",Bonne,"0,1","0,3",Moyenne,"0,3","0,5",Mauvaise,"0,5",3,Très mauvaise,>3,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Fe total (Fe),Fer total,mg/l,Excellente,,"0,5",Bonne,"0,5",1,Moyenne,1,2,Mauvaise,2,5,Très mauvaise,>5,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Cuivre (Cu),Cuivre,mg/l,Excellente,,"0,02",Bonne,"0,02","0,05",Moyenne,"0,05",1,Mauvaise,>1,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Zinc (Zn),Zinc,mg/l,Excellente,,"0,5",Bonne,"0,5",1,Moyenne,1,5,Mauvaise,>5,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Manganèse (Mn),Manganèse,mg/l,Excellente,,"0,1",Bonne,"0,1","0,5",Moyenne,"0,5",1,Mauvaise,>1,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Fluorure (F-),Fluorure,mg/l,Excellente,,"0,7",Bonne,"0,7",1,Moyenne,1,"1,7",Mauvaise,">1,7",,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Hydrocarbures,Hydrocarbures,mg/l,Excellente,,"0,05",Bonne,"0,05","0,2",Moyenne,"0,2",1,Mauvaise,>1,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Phénols,Phénols,mg/l,Excellente,,"0,001",Bonne,"0,001","0,005",Moyenne,"0,005","0,01",Mauvaise,">0,01",,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Détergents anioniques,Détergents anioniques,mg/l,Excellente,,"0,2",Bonne,,"0,2",Moyenne,"0,2","0,5",Mauvaise,"0,5",5,Très mauvaise,>5,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Arsenic (As),Arsenic,µg/l,Excellente,,10,Bonne,,10,Moyenne,10,50,Mauvaise,>50,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Cadmium (Cd),Cadmium,µg/l,Excellente,,3,Bonne,,3,Moyenne,3,5,Mauvaise,>5,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Cyanures (CN-),Cyanures,µg/l,Excellente,,10,Bonne,,10,Moyenne,10,50,Mauvaise,>50,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Chrome total (Cr),Chrome total,µg/l,Excellente,,50,Bonne,,50,Moyenne,,50,Mauvaise,>50,,Très mauvaise,,,plus petit = meilleur,classe 3 identique visuellement aux classes 1 et 2,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Plomb (Pb),Plomb,µg/l,Excellente,,10,Bonne,,10,Moyenne,10,50,Mauvaise,>50,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Mercure (Hg),Mercure,µg/l,Excellente,,1,Bonne,,1,Moyenne,,1,Mauvaise,>1,,Très mauvaise,,,plus petit = meilleur,"classe 3 visuellement notée <1, à confirmer",à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Nickel (Ni),Nickel,µg/l,Excellente,,20,Bonne,,20,Moyenne,20,50,Mauvaise,>50,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Selenium (Se),Sélénium,µg/l,Excellente,,10,Bonne,,10,Moyenne,,10,Mauvaise,>10,,Très mauvaise,,,plus petit = meilleur,classe 3 visuellement identique aux classes 1 et 2,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Pesticides par subst,Pesticides par substance,µg/l,Excellente,,"0,1",Bonne,,"0,1",Moyenne,,"0,1",Mauvaise,">0,1",,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Pesticides totaux,Pesticides totaux,µg/l,Excellente,,"0,5",Bonne,,"0,5",Moyenne,,"0,5",Mauvaise,">0,5",,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,H.P.A. totaux,H.P.A. totaux,µg/l,Excellente,,"0,2",Bonne,,"0,2",Moyenne,,"0,2",Mauvaise,">0,2",,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Coliformes fécaux,Coliformes fécaux,/100ml,Excellente,,20,Bonne,20,2000,Moyenne,2000,20.000,Mauvaise,>20.000,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Coliformes totaux,Coliformes totaux,/100ml,Excellente,,50,Bonne,50,5000,Moyenne,5000,50.000,Mauvaise,>50.000,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Streptocoques fécaux,Streptocoques fécaux,/100ml,Excellente,,20,Bonne,20,1000,Moyenne,1000,10.000,Mauvaise,>10.000,,Très mauvaise,,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,8,eaux de surface,Chlorophylle a,Chlorophylle a,µg/l,Excellente,,"2,5",Bonne,"2,5",10,Moyenne,10,30,Mauvaise,30,110,Très mauvaise,>110,,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Température,Température,°C,Excellente,0,20,Bonne,20,25,Moyenne,25,30,Mauvaise,30,35,Très mauvaise,35,40,intervalle optimal,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,pH,pH,,Excellente,"6,5","8,5",Bonne,,,Moyenne,"8,5","9,2",Mauvaise,,,Très mauvaise,,,intervalle optimal,tableau simplifié avec cellules vides pour certaines classes,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,O2 dissous,O2 dissous,mg/l,Excellente,7,16,Bonne,5,7,Moyenne,3,7,Mauvaise,1,3,Très mauvaise,0,1,plus grand = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,DBO5,DBO5,mgO2/l,Excellente,"0,2",3,Bonne,3,5,Moyenne,5,10,Mauvaise,10,25,Très mauvaise,25,1100,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,DCO,DCO,mgO2/l,Excellente,"7,0",30,Bonne,30,35,Moyenne,35,40,Mauvaise,40,80,Très mauvaise,80,2000,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Ammonium NH4,Ammonium,mgNH4+/l,Excellente,0,"0,1",Bonne,"0,1","0,5",Moyenne,"0,5",2,Mauvaise,2,8,Très mauvaise,8,250,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,NTK,NTK,mg N/l,Excellente,0,1,Bonne,1,2,Moyenne,2,3,Mauvaise,3,380,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Nitrates (NO3-),Nitrates,mg/l,Excellente,0,10,Bonne,10,25,Moyenne,25,50,Mauvaise,50,300,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Orthophosphates (PO4³-),Orthophosphates,mg/l,Excellente,0,"0,2",Bonne,"0,2","0,5",Moyenne,"0,5",1,Mauvaise,1,5,Très mauvaise,5,60,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,P.total (PT),P total,mg/l,Excellente,0,"0,1",Bonne,"0,1","0,3",Moyenne,"0,3","0,5",Mauvaise,"0,5",3,Très mauvaise,3,130,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,CE 20°c,Conductivité,µs/cm,Excellente,"0,5",750,Bonne,750,1300,Moyenne,1300,2700,Mauvaise,2700,3000,Très mauvaise,3000,20500,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Chlorures (Cl-),Chlorures,mg/l,Excellente,1,200,Bonne,200,300,Moyenne,300,750,Mauvaise,750,1000,Très mauvaise,1000,7000,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Sulfates (SO4-),Sulfates,mg/l,Excellente,0,100,Bonne,100,200,Moyenne,200,250,Mauvaise,250,400,Très mauvaise,400,3000,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Calcium,Calcium,mg/l,Excellente,31,160,Bonne,,,Moyenne,,,Mauvaise,,,Très mauvaise,,,intervalle optimal,"classes bonne, moyenne et très mauvaise non indiquées",à valider
