source_document,page_pdf,tableau_pdf,type_eau,milieu,parametre_pdf,parametre_code_propose,parametre_libelle_propose,famille_parametre,unite_pdf,classe_qualite,borne_min,operateur_min,borne_max,operateur_max,valeur_intervalle_originale,couleur_classe,indice_min,indice_max,confiance_extraction,commentaire_validation
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Couleur (échelle Pt),COULEUR_ECHELLE_PT,Couleur,micropolluants,mg Pt/L,excellente,,,,,20,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Couleur (échelle Pt),COULEUR_ECHELLE_PT,Couleur,micropolluants,mg Pt/L,bonne,20,>=,50,<=,20-50,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Couleur (échelle Pt),COULEUR_ECHELLE_PT,Couleur,micropolluants,mg Pt/L,moyenne,50,>=,100,<=,50-100,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Couleur (échelle Pt),COULEUR_ECHELLE_PT,Couleur,micropolluants,mg Pt/L,mauvaise,100,>=,200,<=,100-200,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Couleur (échelle Pt),COULEUR_ECHELLE_PT,Couleur,micropolluants,mg Pt/L,tres_mauvaise,200,>,,,>200,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Odeur (dilu à 25° C),ODEUR_DILU_A_25_C,Odeur,micropolluants,,excellente,,,,,3,bleu,80,100,moyenne,unité non indiquée dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Odeur (dilu à 25° C),ODEUR_DILU_A_25_C,Odeur,micropolluants,,bonne,3,>=,10,<=,3-10,vert,60,80,moyenne,unité non indiquée dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Odeur (dilu à 25° C),ODEUR_DILU_A_25_C,Odeur,micropolluants,,moyenne,10,>=,20,<=,10-20,orange/jaune,40,60,moyenne,unité non indiquée dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Odeur (dilu à 25° C),ODEUR_DILU_A_25_C,Odeur,micropolluants,,mauvaise,20,>,,,>20,rouge/violet,20,40,moyenne,unité non indiquée dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Odeur (dilu à 25° C),ODEUR_DILU_A_25_C,Odeur,micropolluants,,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,unité non indiquée dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Température,T_EAU,Température,temperature,°C,excellente,,,,,20,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Température,T_EAU,Température,temperature,°C,bonne,20,>=,25,<=,20-25,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Température,T_EAU,Température,temperature,°C,moyenne,25,>=,30,<=,25-30,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Température,T_EAU,Température,temperature,°C,mauvaise,30,>=,35,<=,30-35,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Température,T_EAU,Température,temperature,°C,tres_mauvaise,35,>,,,>35,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,PH,PH,pH,acidification,,excellente,6.5,>=,8.5,<=,"6,5-8,5",bleu,80,100,moyenne,classes 4 et 5 identiques dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,PH,PH,pH,acidification,,bonne,6.5,>=,8.5,<=,"6,5-8,5",vert,60,80,moyenne,classes 4 et 5 identiques dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,PH,PH,pH,acidification,,moyenne,6.5,>=,9.2,<=,"6,5-9,2",orange/jaune,40,60,moyenne,classes 4 et 5 identiques dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,PH,PH,pH,acidification,,mauvaise,,,,,,rouge/violet,20,40,moyenne,classes 4 et 5 identiques dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,PH,PH,pH,acidification,,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,classes 4 et 5 identiques dans le tableau
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Conductivité à 20° C,CONDUCTIVITE,Conductivité,mineralisation,µs/cm,excellente,,,,,750,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Conductivité à 20° C,CONDUCTIVITE,Conductivité,mineralisation,µs/cm,bonne,750,>=,1300,<=,750-1300,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Conductivité à 20° C,CONDUCTIVITE,Conductivité,mineralisation,µs/cm,moyenne,1300,>=,2700,<=,1300-2700,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Conductivité à 20° C,CONDUCTIVITE,Conductivité,mineralisation,µs/cm,mauvaise,2700,>=,3000,<=,2700-3000,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Conductivité à 20° C,CONDUCTIVITE,Conductivité,mineralisation,µs/cm,tres_mauvaise,3000,>,,,>3000,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorures (Cl-),CL,Chlorures,mineralisation,mg/l,excellente,,,,,200,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorures (Cl-),CL,Chlorures,mineralisation,mg/l,bonne,200,>=,300,<=,200-300,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorures (Cl-),CL,Chlorures,mineralisation,mg/l,moyenne,300,>=,750,<=,300-750,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorures (Cl-),CL,Chlorures,mineralisation,mg/l,mauvaise,750,>=,1000,<=,750-1000,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Chlorures (Cl-),CL,Chlorures,mineralisation,mg/l,tres_mauvaise,1000,>,,,>1000,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Sulfates (SO4-),SO4,Sulfates,mineralisation,mg/l,excellente,,,,,100,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Sulfates (SO4-),SO4,Sulfates,mineralisation,mg/l,bonne,100,>=,200,<=,100-200,vert,60,80,moyenne,
