station_source,source_rows,station_id,station_canonical_name,code_station,type_station,qa_status,source_alias_of,comment
ABHS,14245,d4ba6716-3169-4af4-be47-042db7ba289e,fes (ABHS),3817/600,pluviometrique,MANUAL_VALIDATED,,Validation manuelle utilisateur.
Aguelmam_Sidi_Ali,14245,a963a9da-0441-4b33-b6aa-6ffbc1041125,aguelmam sidi ali,1652/22,pluviometrique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Ain_aicha,8644,5776b37c-48c8-41b2-8f3d-afadac7fd12e,ain aicha,1217/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Ait_Khabbach,14245,1b62f3e9-91a7-4c4a-9385-d3aa78eae978,ait khabbach,585/22,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Azibe_Soltane,14245,b647955a-e26d-4564-8509-25cb40ef1404,azib soltane,1540/15,hydrologique,MANUAL_VALIDATED,,Variation orthographique validée.
Azzaba,14245,68d55282-7106-4a08-a074-0d8c92a609dd,azzaba,583/22,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Bab Chhoub,15867,1230cd2c-2ca1-483a-8466-d6585fcfbd61,bab chhoub,702/16,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Bab Merzouka,15867,da925486-bca7-49e3-af60-ea5f2294a77a,bab merzouka,551/16,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Bab Ouender,13880,517c713a-dda4-4dcb-a033-4143062487fd,bab ouender,260/9,hydrologique,MANUAL_VALIDATED_WITH_SOURCE_ALIAS,,SAME_STATION_DIFFERENT_PERIODS; séries identiques sur 7305 jours communs; conflit sous-bassin documenté non bloquant.
Bab_Ouender,8644,517c713a-dda4-4dcb-a033-4143062487fd,bab ouender,260/9,hydrologique,MANUAL_VALIDATED_WITH_SOURCE_ALIAS,Bab Ouender,SAME_STATION_DIFFERENT_PERIODS; séries identiques sur 7305 jours communs; conflit sous-bassin documenté non bloquant.
Bab_taza,8644,3b477290-57ad-4aff-bf46-9418e450dc8d,bab taza,1586/600,pluviometrique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Belksiri,14245,475219d3-b07e-4a02-a189-1b4a743d04c7,pont bel ksiri,3694/8,,MANUAL_VALIDATED,,Validation manuelle utilisateur malgré type station NULL.
Beni Heitem,15867,c9eda862-abf9-4375-b614-2e1b2eb84715,beni heitem,672/16,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Boufellou,8644,8672b830-aff8-4fd3-87a7-a43ac966af68,boufellou,1749/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Boured,8644,7042849a-fb8a-4d37-9c74-94d910553723,boured,295/10,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Dar_El_Arssa,14245,706fc2fe-3cee-4ec2-8e85-dbde9b672f89,dar el arsa,2263/15,hydrologique,MANUAL_VALIDATED,,Variation orthographique validée; dar el hamra écarté.
Dar_El_Hamra,14245,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,dar el hamra,1000/23,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
El_Malha,8644,fc8e8e8b-494c-46b7-aa72-d634d4c19cd2,el malha,323/4,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
El_Mers,14245,2ad1ba50-cc7b-456a-8464-0dd4dd9058c7,el mers,541/23,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
ElHamam,8644,440fef7e-9048-4ec4-ac30-d94a20e4f562,el hammam,2062/21,hydrologique,MANUAL_VALIDATED,,Candidat hydrologique 2062/21 validé; Hammam/14 écarté.
Galaz,8644,6f1bbf08-ce82-4dfe-ae44-6e26c9ef07e4,galaz,1216/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Had_kourt,14245,eecf0ca7-8e8b-45b1-b00c-ae8e75fd60ce,had kourt,1436/8,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Hajria,8644,0436c345-452d-4239-a3e3-2842fd3ab7b1,hajria,1508/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Jbel_oudka,8644,cfa0fcf9-82d2-4dae-be20-06b36bfe0fd3,jbel oudka,4626/600,pluviometrique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Kharrouba,14245,b1ba728c-f39b-4922-9a0c-3581390019e8,kharrouba,454/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Khennichet,8644,9d9c6454-777b-455f-a927-da8e8d63b5ec,khenichet,1359/8,hydrologique,MANUAL_VALIDATED,,Variation orthographique validée; support hydro favorisé.
Lalla_Mimouna,14245,343b85cf-030e-46d8-b892-c4ce6cee7bd7,lalla mimouna,1815/8,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Moulay_Ali_Cherif,14245,d65b42a0-4871-4582-9950-1465e53adaaa,my ali cherif,1545/8,hydrologique,MANUAL_VALIDATED,,Abréviation my=Moulay validée.
OuedIfrane,8644,81f85bbe-9afa-4c6b-b051-ff0de9f75df6,souk el had oued ifrane,618/22,hydrologique,MANUAL_VALIDATED,,Candidat fourni et validé par métier.
Oulad_yaacoub,14245,05239150-c8b0-4925-be27-95c3fcd483da,oulad yaacoub,6153/600,pluviometrique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Ratba,8644,ddd6fea0-22b6-49b3-83c9-7533a1188a86,ratba,1708/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Rdom,8644,9de7c827-693d-4af0-9f1f-ec66a407ccb3,souk el had rdom,3261/14,hydrologique,MANUAL_VALIDATED,,Candidat fourni et validé par métier.
Route26,14245,d098a56d-7e97-453f-b1c0-32305b595087,pont rp 26,1541/15,hydrologique,MANUAL_VALIDATED,,Candidat fourni et validé par métier.
Tabouda,8644,f88b46fe-ff1e-4b06-916d-8f3d465562ca,tabouda,1215/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Taghzout,8644,5b01a831-2781-4d2e-b60a-aaba6238d325,taghzout,1707/9,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
Tissa,15867,c65f2655-996e-4d9e-942d-a2da7b4dafe7,tissa boukarkour,2551/15,hydrologique,MANUAL_VALIDATED,,Candidat fourni et validé par métier.
Zrarda,15867,7e275775-8cc5-4644-8381-87b3b3663f64,zrarda,891/16,hydrologique,VALIDATED,,Correspondance exacte nom normalisé vers infra.stations_mesure.
