base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto,qualite_detection
abh_sebou_ismail,public,barrages_abhs,référentiel,colonne_large,vrn_hm3,vrn_hm3,,vrn_hm3,Hm3,34,23,11,0,0,2.8,3800.0,,,12,266,55.5,abh_sebou_ismail.public.barrages_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,barrages_abhs,référentiel,colonne_large,hauteur,hauteur,,hauteur,à confirmer,34,33,1,0,0,0.0,112.0,,,10,88,15,abh_sebou_ismail.public.barrages_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,barrages_abhs,référentiel,colonne_large,apports_hm,apports_hm,,apports_hm,à confirmer,34,23,11,0,0,0.0,2776.0,,,293,716,250,abh_sebou_ismail.public.barrages_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,barrages_abhs,référentiel,colonne_large,montant_md,montant_md,,montant_md,à confirmer,34,23,11,0,0,31.5,9366.0,,,950,31.5,395,abh_sebou_ismail.public.barrages_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,bassin_sebou,autre_métier,colonne_large,perimetre,perimetre,,perimetre,à confirmer,1,1,0,0,0,1063.66456726,1063.66456726,,,1063.66456726,,,abh_sebou_ismail.public.bassin_sebou,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,bassin_sebou,autre_métier,colonne_large,superficie_km2,superficie_km2,,superficie_km2,km2,1,1,0,0,0,40960.94362070001,40960.94362070001,,,40960.94362070001,,,abh_sebou_ismail.public.bassin_sebou,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,bathymetries_barrages_abhs,hydrologie,colonne_large,hauteur_m,hauteur_m,,hauteur_m,m,62359,62359,0,0,0,94.5,765.0,,,325.28,161.01,541.79,abh_sebou_ismail.public.bathymetries_barrages_abhs,variable métier détectée depuis une table large,forte
abh_sebou_ismail,public,bathymetries_barrages_abhs,hydrologie,colonne_large,volume_mm3,volume_mm3,,volume_mm3,Mm3,62359,62359,0,0,0,0.0,4033.781,,,10.307,15.0421,7.562,abh_sebou_ismail.public.bathymetries_barrages_abhs,variable métier détectée depuis une table large,forte
abh_sebou_ismail,public,bathymetries_barrages_abhs,hydrologie,colonne_large,surface_km2,conductivite,,surface_km2,km2,62359,62359,0,0,0,0.0,132.12,,,5.083,6.529940002,7.562,abh_sebou_ismail.public.bathymetries_barrages_abhs,variable métier détectée depuis une table large,forte
abh_sebou_ismail,public,decharges_abhs,pollution,colonne_large,sup_tot_ha,pt_famille,,sup_tot_ha,ha,233,128,105,0,0,0.02,700.0, ,2023,0.06,12,2.1085,abh_sebou_ismail.public.decharges_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,decharges_abhs,pollution,colonne_large,sup_occupee_ha,sup_occupee_ha,,sup_occupee_ha,ha,233,108,125,0,0,0.005,128.0, ,2023,13.5,10,0.005,abh_sebou_ismail.public.decharges_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,decharges_abhs,pollution,colonne_large,quantite_t_j,quantite_t_j,,quantite_t_j,à confirmer,233,159,74,0,0,0.02,560.0, ,2023,560,3.5,15.26,abh_sebou_ismail.public.decharges_abhs,variable métier détectée depuis une table large,moyenne
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Ag,ag,parametre_qualite,val_qual,à confirmer,46,46,0,0,46,,,2024-09-13,2025-12-14,"<0,0067","<0,010",,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Al,al,parametre_qualite,val_qual,à confirmer,46,46,0,0,1,0.0542,35.57,2024-09-13,2025-12-14,"<0,010","0,0542","0,0832",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,As,as,parametre_qualite,val_qual,à confirmer,46,46,0,0,46,,,2024-09-13,2025-12-14,"<0,005","<0,010",,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Ba,ba,parametre_qualite,val_qual,à confirmer,46,46,0,0,1,0.0162,15.91,2024-09-13,2025-12-14,"<0,010","0,0162","0,0167",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Be,be,parametre_qualite,val_qual,à confirmer,45,45,0,0,45,,,2024-09-13,2025-12-14,"<0,005","<0,010",,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Bilan_Ionique,bilan_ionique,parametre_qualite,val_qual,à confirmer,28,28,0,0,0,0.525216307,8.791470332,2024-09-20,2025-12-13,"0,525216307","0,616442227","0,723237856",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Ca++,ca,parametre_qualite,val_qual,à confirmer,189,189,0,0,0,19.6,1222.4,2024-09-13,2025-12-14,"138,3","86,2","280,6",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Cd,cd,parametre_qualite,val_qual,à confirmer,46,46,0,0,44,0.0013,0.0024,2024-09-13,2025-12-14,"<0,0005","<0,001","0,0013",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CF,cf,parametre_qualite,val_qual,UFC/100mL,184,184,0,0,164,0.0,94.0,2024-09-13,2025-12-14,"1,0x103","4,9 x 106","1,5x102",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Cl-,cl,parametre_qualite,val_qual,à confirmer,189,189,0,0,0,5.9,14508.0,2024-09-13,2025-12-14,497,395,173,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Co,co,parametre_qualite,val_qual,à confirmer,46,46,0,0,45,0.0245,0.0245,2024-09-13,2025-12-14,"<0,005","<0,010","0,0245",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CO3,co3,parametre_qualite,val_qual,mg/L,32,32,0,0,0,0.0,0.0,2024-09-18,2025-12-13,0,,,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CrT,crt,parametre_qualite,val_qual,à confirmer,46,46,0,0,16,0.0101,0.1108,2024-09-13,2025-12-14,"<0,005","<0,010","0,0101",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,CT,ct,parametre_qualite,val_qual,mg/L,184,184,0,0,173,0.0,90.0,2024-09-13,2025-12-14,"3,4x102","6,2X102","5,0X103",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Cu,cu,parametre_qualite,val_qual,à confirmer,46,46,0,0,15,0.0113,0.2337,2024-09-13,2025-12-14,"<0,005","<0,010","0,0113",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
