groupe_propose,variantes_detectees,tables_concernees,volumes_cumules,confiance_auto,decision_metier_attendue
arsenic,Arsenic | Arsenic(mg/l),idp_2024_mesures_qualite_marche_cadre | suivi_qualite_brg_garde_hebdo,190,forte,valider fusion / séparation
ca,Ca | Ca++,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,4696,forte,valider fusion / séparation
cadmium,Cadmium | Cadmium(mg/l),idp_2024_mesures_qualite_marche_cadre | suivi_qualite_brg_garde_hebdo,190,forte,valider fusion / séparation
cf,CF | CF(UFC/100mL),idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,5191,forte,valider fusion / séparation
chla,Chl a | Chl.A(µg/l) | Chla,idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,825,forte,valider fusion / séparation
chrome,Chrome | Chrome(mg/l),idp_2024_mesures_qualite_marche_cadre | suivi_qualite_brg_garde_hebdo,190,forte,valider fusion / séparation
cl,Cl | Cl- | Cl-(mg/l),idp_2024_mesures_qualite_globale | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,5038,forte,valider fusion / séparation
cn,CN | CN(mg/l),mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo,306,forte,valider fusion / séparation
cobalt,Cobalt | Cobalt(mg/l)),idp_2024_mesures_qualite_marche_cadre | suivi_qualite_brg_garde_hebdo,190,forte,valider fusion / séparation
conductivite,Conductivite | Conductivité | Conductivitéà20°C(µs/cm) | Indicedephénol(mg/l) | cond_20_c | indice de phénol M:A | surface_km2,bathymetries_barrages_abhs | idp_2024_mesures_qualite_marche_cadre | idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo,72785,moyenne,valider fusion / séparation
ct,CT | HCT | NO2- _Spectro. | NTK Spectr | TAC/TACs_meq/l | TAC/TACs_°F,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,5523,moyenne,valider fusion / séparation
cuivre,Cuivre | Cuivre(mg/l),idp_2024_mesures_qualite_marche_cadre | suivi_qualite_brg_garde_hebdo,190,forte,valider fusion / séparation
dbo5,DBO5 | DBO5_dec2h,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,6908,forte,valider fusion / séparation
dco,"DCO | DCO 
2h décant. | DCO  D 
 2h | DCO_dec2h",idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,7093,faible,valider fusion / séparation
