parametre,ambiguite,tables,volume,exemples_valeurs,question_metier,priorite
Ag,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_rivieres,55,"<0,0067 | 0.01",quel libellé officiel et quelle unité retenir ?,Élevée
Al,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,104,"<0,010 | 0.02 | 0.0034",quel libellé officiel et quelle unité retenir ?,Élevée
Aluminium(mg/l),libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.0406,quel libellé officiel et quelle unité retenir ?,Élevée
Ammonium,plusieurs variantes probables,suivi_qualite_sebou_jr,4572,40.4,quel libellé officiel et quelle unité retenir ?,Élevée
Arsenic,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,8,"<0,005",quel libellé officiel et quelle unité retenir ?,Élevée
Arsenic(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.005,quel libellé officiel et quelle unité retenir ?,Élevée
As,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,289,"<0,005 | 0.01 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
Azote_tot_kjeld,plusieurs variantes probables,mesures_qualite_barrages | types_mesures,2,0.371,quel libellé officiel et quelle unité retenir ?,Élevée
Azote_tot_kjeldhal,plusieurs variantes probables,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,1934,0.06 | 0.01 | 0.346,quel libellé officiel et quelle unité retenir ?,Élevée
Ba,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_rivieres,64,"<0,010 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
Be,abréviation non explicitée,idp_2024_mesures_qualite_globale,45,"<0,005",quel libellé officiel et quelle unité retenir ?,Élevée
Beryllium(mg/l),libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.005,quel libellé officiel et quelle unité retenir ?,Élevée
Bore(mg/l),libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.06,quel libellé officiel et quelle unité retenir ?,Élevée
CF,plusieurs variantes probables,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,5009,"1,0x103 | 7,5.104 | 340",quel libellé officiel et quelle unité retenir ?,Élevée
CF(UFC/100mL),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,8,quel libellé officiel et quelle unité retenir ?,Élevée
CN,plusieurs variantes probables; abréviation non explicitée,mesures_qualite_nappes | mesures_qualite_rivieres,127,0.003 | 0,quel libellé officiel et quelle unité retenir ?,Élevée
CN(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,179,0.02,quel libellé officiel et quelle unité retenir ?,Élevée
CT,plusieurs variantes probables,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,4725,"3,4x102 | 1,9.106 | 2349",quel libellé officiel et quelle unité retenir ?,Élevée
Ca,plusieurs variantes probables; abréviation non explicitée,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,4418,49.7 | 59.1 | 59.1,quel libellé officiel et quelle unité retenir ?,Élevée
Ca++,plusieurs variantes probables; abréviation non explicitée,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre,278,"138,3 | 30,1",quel libellé officiel et quelle unité retenir ?,Élevée
Cadmium,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,8,"<0,0005",quel libellé officiel et quelle unité retenir ?,Élevée
Cadmium(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.0005,quel libellé officiel et quelle unité retenir ?,Élevée
Cd,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,325,"<0,0005 | 0 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
Chl,abréviation non explicitée,mesures_qualite_rivieres,2,0,quel libellé officiel et quelle unité retenir ?,Élevée
Chl a,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,38,"<0,1",quel libellé officiel et quelle unité retenir ?,Élevée
Chl.A(µg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,29.7,quel libellé officiel et quelle unité retenir ?,Élevée
Chla,plusieurs variantes probables; abréviation non explicitée,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,605,1.6 | 0 | 0,quel libellé officiel et quelle unité retenir ?,Élevée
Chrome,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,8,"<0,005",quel libellé officiel et quelle unité retenir ?,Élevée
Chrome(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.005,quel libellé officiel et quelle unité retenir ?,Élevée
Cl,plusieurs variantes probables; abréviation non explicitée,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,4667,512.17 | 89.5 | 537,quel libellé officiel et quelle unité retenir ?,Élevée
Cl-,plusieurs variantes probables; abréviation non explicitée,idp_2024_mesures_qualite_globale,189,497,quel libellé officiel et quelle unité retenir ?,Élevée
Cl-(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,133,quel libellé officiel et quelle unité retenir ?,Élevée
Co,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,158,"<0,005 | 19 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
Cobalt,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,8,"<0,005",quel libellé officiel et quelle unité retenir ?,Élevée
Cobalt(mg/l)),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.005,quel libellé officiel et quelle unité retenir ?,Élevée
"Cond
25°C",libellé composé ou unité intégrée,idp_2024_mesures_qualite_marche_cadre,13,"1113,768",quel libellé officiel et quelle unité retenir ?,Élevée
"Cond 25°C *0,9*0,01",libellé composé ou unité intégrée,idp_2024_mesures_qualite_marche_cadre,13,,quel libellé officiel et quelle unité retenir ?,Élevée
"Cond 25°C *1,1*0,01",libellé composé ou unité intégrée,idp_2024_mesures_qualite_marche_cadre,13,,quel libellé officiel et quelle unité retenir ?,Élevée
Conductivite,plusieurs variantes probables,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,5072,1868 | 877 | 1318,quel libellé officiel et quelle unité retenir ?,Élevée
Conductivité,plusieurs variantes probables,suivi_qualite_sebou_jr,4572,1593,quel libellé officiel et quelle unité retenir ?,Élevée
Conductivitéà20°C(µs/cm),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,877,quel libellé officiel et quelle unité retenir ?,Élevée
Cr,abréviation non explicitée,mesures_qualite_nappes | mesures_qualite_rivieres,57,0.013 | 0,quel libellé officiel et quelle unité retenir ?,Élevée
CrT,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,437,"<0,005 | 0.02 | 0.011",quel libellé officiel et quelle unité retenir ?,Élevée
Cu,abréviation non explicitée,idp_2024_mesures_qualite_globale | mesures_qualite_nappes | mesures_qualite_rivieres,323,"<0,005 | 0.02 | 0",quel libellé officiel et quelle unité retenir ?,Élevée
Cuivre,plusieurs variantes probables,idp_2024_mesures_qualite_marche_cadre,8,"<0,005",quel libellé officiel et quelle unité retenir ?,Élevée
Cuivre(mg/l),plusieurs variantes probables; libellé composé ou unité intégrée,suivi_qualite_brg_garde_hebdo,182,0.0052,quel libellé officiel et quelle unité retenir ?,Élevée
DBO5,plusieurs variantes probables,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,6884,"2,132 | <0,2 | 1.6",quel libellé officiel et quelle unité retenir ?,Élevée
DBO5_dec2h,plusieurs variantes probables,mesures_qualite_rivieres,24,0,quel libellé officiel et quelle unité retenir ?,Élevée
DCO,plusieurs variantes probables,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,7028,"1585 | <8,10 | 13.4",quel libellé officiel et quelle unité retenir ?,Élevée
"DCO 
2h décant.",plusieurs variantes probables; libellé composé ou unité intégrée,idp_2024_mesures_qualite_marche_cadre,4,"15,4",quel libellé officiel et quelle unité retenir ?,Élevée
"DCO  D 
 2h",plusieurs variantes probables; libellé composé ou unité intégrée,idp_2024_mesures_qualite_globale,2,"53,76",quel libellé officiel et quelle unité retenir ?,Élevée
DCO_dec2h,plusieurs variantes probables,mesures_qualite_barrages | mesures_qualite_rivieres | types_mesures,59,34.27 | 0,quel libellé officiel et quelle unité retenir ?,Élevée
