parametre,unites_detectees,source_unite,volume_total,statut
Ag,à confirmer,types_mesures / libellé / nom de colonne,55,unité absente
Al,à confirmer,types_mesures / libellé / nom de colonne,104,unité absente
Aluminium(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Ammonium,à confirmer,types_mesures / libellé / nom de colonne,4572,unité absente
Arsenic,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Arsenic(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
As,à confirmer,types_mesures / libellé / nom de colonne,289,unité absente
Azote_Org,mg/L,types_mesures / libellé / nom de colonne,5,unité détectée
Azote_Total,mg/L,types_mesures / libellé / nom de colonne,370,unité détectée
Azote_tot_kjeld,mg/L,types_mesures / libellé / nom de colonne,2,unité détectée
Azote_tot_kjeldhal,mg/L,types_mesures / libellé / nom de colonne,1934,unité détectée
Ba,à confirmer,types_mesures / libellé / nom de colonne,64,unité absente
Be,à confirmer,types_mesures / libellé / nom de colonne,45,unité absente
Beryllium(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Bilan_Ionique,à confirmer,types_mesures / libellé / nom de colonne,117,unité absente
Bore(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
CF,UFC/100mL,types_mesures / libellé / nom de colonne,5009,unité détectée
CF(UFC/100mL),UFC/100mL,types_mesures / libellé / nom de colonne,182,unité détectée
CN,à confirmer,types_mesures / libellé / nom de colonne,127,unité absente
CN(mg/l),mg/l,types_mesures / libellé / nom de colonne,179,unité détectée
CO2_libre,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
CO3,mg/L,types_mesures / libellé / nom de colonne,4509,unité détectée
CO32,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
CT,mg/L,types_mesures / libellé / nom de colonne,4725,unité détectée
Ca,mg/L,types_mesures / libellé / nom de colonne,4418,unité détectée
Ca++,à confirmer,types_mesures / libellé / nom de colonne,278,unité absente
Cadmium,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Cadmium(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Carbone_org,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
Cd,à confirmer,types_mesures / libellé / nom de colonne,325,unité absente
