parametre,volume,min,max,moyenne,null,non_numerique,negatif,date_min,date_max
Ag,55,0.01,19.0,,0,46,0,1994-07-06,2025-12-14
Al,104,0.0034,73.67,,0,1,0,1991-03-27,2025-12-14
Aluminium(mg/l),182,0.01,0.2478,,160,0,0,2023-01-03,2025-09-22
Ammonium,4572,0.0,nan,,0,0,0,2023-12-07,2026-01-06
Arsenic,8,,,,0,8,0,2025-10-08,2025-10-29
Arsenic(mg/l),182,0.005,0.005,,160,0,0,2023-01-03,2025-09-22
As,289,0.0,25.0,,0,46,0,1991-03-27,2025-12-14
Azote_Org,5,0.0,0.25,,0,0,0,1994-07-06,2003-11-13
Azote_Total,370,0.077,141.0,,0,0,0,2002-07-28,2024-11-25
Azote_tot_kjeld,2,0.371,0.371,,0,0,0,1996-10-24,1996-10-24
Azote_tot_kjeldhal,1934,0.0,1309.0,,0,0,0,1988-09-22,2011-10-29
Ba,64,0.0,15.91,,0,1,0,1996-02-13,2025-12-14
Be,45,,,,0,45,0,2024-09-13,2025-12-14
Beryllium(mg/l),182,0.005,0.005,,160,0,0,2023-01-03,2025-09-22
Bilan_Ionique,117,0.040490623,9.794268427,,4,0,0,2024-09-20,2025-12-13
Bore(mg/l),182,0.058,0.157,,160,0,0,2023-01-03,2025-09-22
CF,5009,-0.4,120000000.0,,0,216,1,1988-09-20,2025-12-14
CF(UFC/100mL),182,0.0,110000.0,,94,0,0,2023-01-03,2025-09-22
CN,127,0.0,25.0,,0,0,0,1990-02-05,1997-06-28
CN(mg/l),179,0.02,0.02,,157,0,0,2023-01-03,2025-09-22
CO2_libre,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
CO3,4509,0.0,50000.0,,0,0,0,1991-03-27,2025-12-13
CO32,1,0.0,0.0,,0,0,0,1999-05-20,1999-05-20
CT,4725,0.0,1300000000.0,,0,234,0,1988-09-20,2025-12-14
Ca,4418,1.21,1912.0,,0,0,0,1988-10-03,2024-11-20
Ca++,278,17.6,1222.4,,0,0,0,2024-09-13,2025-12-14
Cadmium,8,,,,0,8,0,2025-10-08,2025-10-29
Cadmium(mg/l),182,0.0005,0.0005,,160,0,0,2023-01-03,2025-09-22
Carbone_org,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
Cd,325,0.0,5.04,,0,44,0,1990-02-07,2025-12-14
Chl,2,0.0,0.0,,0,0,0,1994-10-06,1994-10-17
Chl a,38,0.54,459.0,,0,6,0,2025-10-06,2025-11-13
Chl.A(µg/l),182,0.1,68.4,,2,0,0,2023-01-03,2025-09-22
Chla,605,0.0,228.3,,0,0,0,1988-10-06,2024-11-25
Chrome,8,0.009,0.009,,0,7,0,2025-10-08,2025-10-29
Chrome(mg/l),182,0.005,0.005,,160,0,0,2023-01-03,2025-09-22
Cl,4667,0.463,17581.0,,0,0,0,1988-10-03,2024-11-19
Cl-,189,5.9,14508.0,,0,0,0,2024-09-13,2025-12-14
Cl-(mg/l),182,123.0,634.0,,90,0,0,2023-01-03,2025-09-22
Cl-_IC,127,3.77,20625.0,,0,0,0,2025-10-06,2025-12-01
Cl2_res,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
Clostri_sul_redu,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
Co,158,0.0,19.0,,0,45,0,1994-07-06,2025-12-14
Cobalt,8,,,,0,8,0,2025-10-08,2025-10-29
Cobalt(mg/l)),182,0.005,0.005,,160,0,0,2023-01-03,2025-09-22
"Cond
25°C",13,554.652,17454.24,,0,0,0,2025-10-07,2025-11-19
"Cond 25°C *0,9*0,01",13,4.991868,157.08816,,0,0,0,2025-10-07,2025-11-19
"Cond 25°C *1,1*0,01",13,6.101172,191.99664,,0,0,0,2025-10-07,2025-11-19
Conductivite,5072,0.0,54900.0,,0,0,0,1988-09-20,2024-11-29
Conductivité,4572,0.0,nan,,0,0,0,2023-12-07,2026-01-06
Conductivitéà20°C(µs/cm),182,676.0,3160.0,,0,0,0,2023-01-03,2025-09-22
Couleur,5,0.02,0.1,,0,0,0,1992-05-25,2004-10-07
Cr,57,0.0,200.0,,0,0,0,1988-10-05,1997-01-21
CrT,437,0.0,101.0,,0,16,0,1990-01-31,2025-12-14
Cu,323,0.0,50.0,,0,15,0,1990-01-31,2025-12-14
Cuivre,8,0.0056,0.0171,,0,4,0,2025-10-08,2025-10-29
Cuivre(mg/l),182,0.005,0.0217,,160,0,0,2023-01-03,2025-09-22
DBO5,6884,0.0,17450.57,,0,6,0,1988-09-20,2026-01-06
DBO5_dec2h,24,0.0,204.0,,0,0,0,1990-01-31,2009-10-22
DCO,7028,0.0,30720.0,,0,21,0,1988-09-20,2026-01-06
"DCO 
2h décant.",4,9.6,53.8,,0,0,0,2025-10-08,2025-10-30
"DCO  D 
 2h",2,53.76,74.88,,0,0,0,2025-10-30,2025-10-30
DCO_dec2h,59,0.0,429.0,,0,0,0,1990-01-31,2019-04-07
Debit,176,0.046,4400000.0,,0,0,0,1988-09-22,2002-02-01
Detergent,192,0.0,18.8,,0,0,0,1990-01-31,1998-06-26
Detergent_non_ionique,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
Disque_secchi,368,0.0,380.0,,0,0,0,1989-03-23,2024-11-29
DisquedeSecchi(m),182,0.01,1.2,,91,0,0,2023-01-03,2025-09-22
Eh,96,-330.0,801.0,,0,0,1,1990-02-05,2009-10-22
F,61,0.0,690.0,,0,0,0,1993-03-09,2004-09-19
F-(mg/l),181,0.168,0.564,,159,0,0,2023-01-03,2025-09-22
FM,5,12.4,298.6,,0,0,0,1994-09-21,1996-12-27
F_M_mes,12,0.0,301.0,,0,0,0,1994-07-06,2006-12-13
Fe,1351,0.0,3484.0,,0,49,0,1988-10-05,2025-12-14
Fe2+,44,0.0171,5.624,,0,29,0,2024-09-21,2025-11-13
FeT,2072,0.0,4452.0,,0,0,0,1994-07-06,2024-11-27
Fer,8,0.0204,0.6993,,0,0,0,2025-10-08,2025-10-29
Fer(mg/l),182,0.05,0.263,,160,0,0,2023-01-03,2025-09-22
Ferdissous(mg/l),182,0.005,0.522,,2,0,0,2023-01-03,2025-09-22
Germe_tt_22,4,0.0,3400.0,,0,0,0,1994-07-06,2009-10-22
Germe_tt_37,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
