id_decision,parametre_observe,nom_standard_metier,variantes_associees,unite_source,unite_metier,unite_abh,source_table,colonne_valeur,volume_total,volume_non_null,nb_null,nb_non_numerique,nb_suspect,min_observe,max_observe,plage_abh,plage_biblio,statut_mapping,statut_unite,statut_valeur,statut_migration,action_recommandee,decision_metier,commentaire_metier,reference_biblio_principale
MIG-0001,CT,CT,CT,mg/L,UFC/100 mL,,idp_2024_mesures_qualite_globale,val_qual,184,184,0,173,0,0,90,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_CONFLICT,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unités non alignées,,,
MIG-0002,Ag,Ag,Ag,à confirmer,mg/L,,mesures_qualite_rivieres,val_qual_riv,9,9,0,0,0,0.01,19,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0003,CF,CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,idp_2024_mesures_qualite_globale,val_qual,184,184,0,164,0,0,94,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,NON_NUMERIC_REVIEW,NEEDS_VALUE_RULE,quarantaine des valeurs non interprétables avant migration,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0004,Al,Al,Al | Aluminium(mg/l),à confirmer,mg/L,,mesures_qualite_nappes,val_qual_nap,4,4,0,0,0,0.02,7.0000000000000007E-2,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0005,Al,Al,Al | Aluminium(mg/l),à confirmer,mg/L,,mesures_qualite_rivieres,val_qual_riv,54,54,0,0,0,3.3999999999999998E-3,73.67,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0006,Aluminium(mg/l),Al,Al | Aluminium(mg/l),mg/l,mg/L,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,22,160,0,0,0.01,0.24779999999999999,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0007,Ammonium,NH4+,Ammonium | NH4 | NH4+ | NH4+  Titri | NH4+ 2 | NH4+ Spect | NH4+(mgNH4+/l),à confirmer,mg/L,,suivi_qualite_sebou_jr,val_qual_sebou_jr,4572,4572,0,0,0,0,nan,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0008,apports_hm,Apports_hm3,apports_hm | apports_mm3,à confirmer,Mm³,,barrages_abhs,apports_hm,34,23,11,0,0,0,2776,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,HORS_PERIMETRE,REJECT_FROM_MIGRATION,hors périmètre migration des mesures,,,
MIG-0009,apports_mm3,Apports_hm3,apports_hm | apports_mm3,Mm3,Mm³,,mesures_niv_eau_barrages,apports_mm3,85166,85155,11,0,0,0,290.4521378,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0010,SF,SF,SF,g/L,UFC/100 mL,,idp_2024_mesures_qualite_globale,val_qual,184,184,0,164,0,0,65,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_CONFLICT,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unités non alignées,,,
MIG-0011,Arsenic(mg/l),As,As | Arsenic | Arsenic(mg/l),mg/l,mg/L,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,22,160,0,0,5.0000000000000001E-3,5.0000000000000001E-3,référence ABH non disponible,<= 0.01 mg/L,MAPPED_BY_METIER_VARIANT,UNIT_OK,SUSPECT_OUTLIER,OK_WITH_FLAG,migrer avec contrôle standard,,,WHO — Arsenic fact sheet (https://www.who.int/news-room/fact-sheets/detail/arsenic)
MIG-0012,NO2-,NO2-,NO2- | NO2- _Spectro.,mg/L,mg/L,,idp_2024_mesures_qualite_globale,val_qual,189,189,0,110,1,2E-3,11.128,référence ABH non disponible,<= 3 mg/L as nitrite,MAPPED_EXACT,UNIT_OK,FLAG_REQUIRED,OK_WITH_FLAG,appliquer règle de parsing + flag,,,WHO — Chemical fact sheets: Nitrate/nitrite (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/nitrate-and-nitrite-fact-sheet-2022.pdf?download=true&sfvrsn=a65406e9_2)
MIG-0013,As,As,As | Arsenic | Arsenic(mg/l),à confirmer,mg/L,,mesures_qualite_nappes,val_qual_nap,3,3,0,0,1,0.01,1.4999999999999999E-2,référence ABH non disponible,<= 0.01 mg/L,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Arsenic fact sheet (https://www.who.int/news-room/fact-sheets/detail/arsenic)
MIG-0014,As,As,As | Arsenic | Arsenic(mg/l),à confirmer,mg/L,,mesures_qualite_rivieres,val_qual_riv,240,240,0,0,1,0,25,référence ABH non disponible,<= 0.01 mg/L,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Arsenic fact sheet (https://www.who.int/news-room/fact-sheets/detail/arsenic)
