edge_id,source_node,target_node,length_m,z_start,z_end,dz,slope,direction_status,confidence,qa_comment,review_status,review_decision,reviewer,review_comment
30,43,44,4999.999971480998,29.0,28.0,1.0,0.00020000000114076008,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
31,46,10,4999.999983910522,19.0,19.0,0.0,0.0,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
32,47,46,5000.000039217569,19.0,19.0,0.0,0.0,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
47,62,63,1288.6486791764255,16.0,15.0,1.0,0.0007760066930259839,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
54,72,70,3033.926331730514,638.0,639.0,-1.0,-0.0003296058937032965,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
55,73,74,5408.947522890329,66.0,67.0,-1.0,-0.0001848788504173986,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
61,77,82,5000.000009129916,395.0,394.0,1.0,0.00019999999963480334,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
121,163,166,4999.9999699652635,45.0,45.0,0.0,0.0,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
125,172,173,2627.7527929398025,8.0,9.0,-1.0,-0.00038055330116546025,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
136,164,184,4999.999911384823,8.0,9.0,-1.0,-0.00020000000354460716,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
138,186,187,8085.843129044345,7.0,7.0,0.0,0.0,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
143,194,188,9999.99993079271,9.0,8.0,1.0,0.00010000000069207291,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
144,184,195,2689.123252253503,9.0,8.0,1.0,0.0003718684144216869,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
145,195,194,2310.8767971337047,8.0,9.0,-1.0,-0.0004327361810202732,FLAT_SEGMENT,LOW,Difference altimetrique <= 1 m; segment plat ou incertain a revoir.,TO_REVIEW,,,
