edge_id,direction_status,z_start,z_end,dz,slope,longueur_m,decision,commentaire_collaboratrice,besoin_validation_metier,date_validation,validateur
17,FLOW_REVERSED_SUSPECTED,87.0,109.0,-22.0,-0.006618821504588737,3323.854553978787,,,,,
19,FLOW_REVERSED_SUSPECTED,59.0,78.0,-19.0,-0.016531897747819987,1149.2933412623772,,,,,
21,FLOW_REVERSED_SUSPECTED,71.0,89.0,-18.0,-0.0017999999963441518,10000.000020310268,,,,,
40,FLOW_REVERSED_SUSPECTED,877.0,883.0,-6.0,-0.00119999999928998,5000.000002958417,,,,,
43,FLOW_REVERSED_SUSPECTED,586.0,603.0,-17.0,-0.003399999978700415,5000.000031322919,,,,,
62,FLOW_REVERSED_SUSPECTED,845.0,847.0,-2.0,-0.0009854226062177823,2029.5860754365442,,,,,
78,FLOW_REVERSED_SUSPECTED,495.0,504.0,-9.0,-0.008857717203087279,1016.063145125375,,,,,
84,FLOW_REVERSED_SUSPECTED,822.0,826.0,-4.0,-0.001371959915845121,2915.5370749560266,,,,,
102,FLOW_REVERSED_SUSPECTED,183.0,205.0,-22.0,-0.004399999964942114,5000.000039838507,,,,,
110,FLOW_REVERSED_SUSPECTED,134.0,139.0,-5.0,-0.0010000000000843531,4999.999999578235,,,,,
117,FLOW_REVERSED_SUSPECTED,139.0,153.0,-14.0,-0.0027999999697119987,5000.000054085717,,,,,
118,FLOW_REVERSED_SUSPECTED,92.0,95.0,-3.0,-0.00059999998993069,5000.000083910918,,,,,
139,FLOW_REVERSED_SUSPECTED,8.0,10.0,-2.0,-0.00019999999831675437,10000.000084162282,,,,,
140,FLOW_REVERSED_SUSPECTED,5.0,7.0,-2.0,-0.0003999999993947908,5000.000007565115,,,,,
142,FLOW_REVERSED_SUSPECTED,640.0,649.0,-9.0,-0.001799999999647771,5000.0000009784135,,,,,
152,FLOW_REVERSED_SUSPECTED,791.0,833.0,-42.0,-0.013861830360783164,3029.9028993186357,,,,,
156,FLOW_REVERSED_SUSPECTED,736.0,773.0,-37.0,-0.007399999994882412,5000.00000345783,,,,,
158,FLOW_REVERSED_SUSPECTED,819.0,834.0,-15.0,-0.0030000000012272827,4999.999997954529,,,,,
165,FLOW_REVERSED_SUSPECTED,453.0,502.0,-49.0,-0.009799999921151508,5000.000040228823,,,,,
169,FLOW_REVERSED_SUSPECTED,419.0,426.0,-7.0,-0.008323915012823972,840.9504408941796,,,,,
173,FLOW_REVERSED_SUSPECTED,847.0,873.0,-26.0,-0.008429606916655527,3084.3668343097047,,,,,
198,FLOW_REVERSED_SUSPECTED,231.0,277.0,-46.0,-0.009200000094397991,4999.9999486967445,,,,,
207,FLOW_REVERSED_SUSPECTED,157.0,169.0,-12.0,-0.02303917249626543,520.8520402347418,,,,,
215,FLOW_REVERSED_SUSPECTED,189.0,236.0,-47.0,-0.009400000025598761,4999.999986383637,,,,,
216,FLOW_REVERSED_SUSPECTED,94.0,119.0,-25.0,-0.004999999999999429,5000.00000000057,,,,,
222,FLOW_REVERSED_SUSPECTED,129.0,142.0,-13.0,-0.002599999969800856,5000.000058075278,,,,,
229,FLOW_REVERSED_SUSPECTED,147.0,167.0,-20.0,-0.004000000028115293,4999.999964855884,,,,,
234,FLOW_REVERSED_SUSPECTED,126.0,186.0,-60.0,-0.028264625993028047,2122.7947617208883,,,,,
248,FLOW_REVERSED_SUSPECTED,75.0,78.0,-3.0,-0.00027609278984412974,10865.912151105693,,,,,
252,FLOW_REVERSED_SUSPECTED,300.0,315.0,-15.0,-0.0030000000262613616,4999.999956231064,,,,,
253,FLOW_REVERSED_SUSPECTED,246.0,359.0,-113.0,-0.02259999993516986,5000.0000143429515,,,,,
262,FLOW_REVERSED_SUSPECTED,984.0,991.0,-7.0,-0.007548015839971126,927.3960400203371,,,,,
264,FLOW_REVERSED_SUSPECTED,186.0,220.0,-34.0,-0.5193533971452069,65.46602022224548,,,,,
265,FLOW_REVERSED_SUSPECTED,115.0,186.0,-71.0,-0.010443892979588013,6798.231285859153,,,,,
270,FLOW_REVERSED_SUSPECTED,180.0,186.0,-6.0,-0.0012000000013402822,4999.999994415491,,,,,
272,FLOW_REVERSED_SUSPECTED,167.0,172.0,-5.0,-0.0003333333330174226,15000.000014215982,,,,,
278,FLOW_REVERSED_SUSPECTED,648.0,697.0,-49.0,-0.00980000001073583,4999.999994522535,,,,,
279,FLOW_REVERSED_SUSPECTED,620.0,648.0,-28.0,-0.00560000004404203,4999.999960676759,,,,,
293,FLOW_REVERSED_SUSPECTED,78.0,86.0,-8.0,-0.001432725357932635,5583.763807701203,,,,,
