edge_id,source_node,target_node,length_m,z_start,z_end,dz,slope,direction_status,confidence,qa_comment,review_status,review_decision,reviewer,review_comment
17,26,27,3323.854553978787,87.0,109.0,-22.0,-0.006618821504588737,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
19,28,29,1149.2933412623772,59.0,78.0,-19.0,-0.016531897747819987,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
21,33,34,10000.000020310268,71.0,89.0,-18.0,-0.0017999999963441518,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
40,40,53,5000.000002958417,877.0,883.0,-6.0,-0.00119999999928998,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
43,60,58,5000.000031322919,586.0,603.0,-17.0,-0.003399999978700415,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
62,83,15,2029.5860754365442,845.0,847.0,-2.0,-0.0009854226062177823,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
78,105,54,1016.063145125375,495.0,504.0,-9.0,-0.008857717203087279,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
84,118,119,2915.5370749560266,822.0,826.0,-4.0,-0.001371959915845121,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
102,146,130,5000.000039838507,183.0,205.0,-22.0,-0.004399999964942114,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
110,156,157,4999.999999578235,134.0,139.0,-5.0,-0.0010000000000843531,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
117,157,161,5000.000054085717,139.0,153.0,-14.0,-0.0027999999697119987,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
118,155,165,5000.000083910918,92.0,95.0,-3.0,-0.00059999998993069,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
139,188,183,10000.000084162282,8.0,10.0,-2.0,-0.00019999999831675437,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
140,185,186,5000.000007565115,5.0,7.0,-2.0,-0.0003999999993947908,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
142,190,191,5000.0000009784135,640.0,649.0,-9.0,-0.001799999999647771,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
152,205,189,3029.9028993186357,791.0,833.0,-42.0,-0.013861830360783164,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
156,152,209,5000.00000345783,736.0,773.0,-37.0,-0.007399999994882412,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
158,211,212,4999.999997954529,819.0,834.0,-15.0,-0.0030000000012272827,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
165,219,220,5000.000040228823,453.0,502.0,-49.0,-0.009799999921151508,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
169,222,148,840.9504408941796,419.0,426.0,-7.0,-0.008323915012823972,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
173,15,12,3084.3668343097047,847.0,873.0,-26.0,-0.008429606916655527,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
198,248,249,4999.9999486967445,231.0,277.0,-46.0,-0.009200000094397991,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
207,262,131,520.8520402347418,157.0,169.0,-12.0,-0.02303917249626543,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
215,272,271,4999.999986383637,189.0,236.0,-47.0,-0.009400000025598761,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
216,273,274,5000.00000000057,94.0,119.0,-25.0,-0.004999999999999429,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
222,280,278,5000.000058075278,129.0,142.0,-13.0,-0.002599999969800856,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
229,285,286,4999.999964855884,147.0,167.0,-20.0,-0.004000000028115293,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
234,210,291,2122.7947617208883,126.0,186.0,-60.0,-0.028264625993028047,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
248,309,310,10865.912151105693,75.0,78.0,-3.0,-0.00027609278984412974,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
252,315,267,4999.999956231064,300.0,315.0,-15.0,-0.0030000000262613616,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
253,268,316,5000.0000143429515,246.0,359.0,-113.0,-0.02259999993516986,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
262,228,229,927.3960400203371,984.0,991.0,-7.0,-0.007548015839971126,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
264,325,25,65.46602022224548,186.0,220.0,-34.0,-0.5193533971452069,FLOW_REVERSED_SUSPECTED,NEED_REVIEW,Altitude de fin superieure a altitude de debut; inversion potentielle a arbitrer.,TO_REVIEW,,,
