source_base,source_schema,source_table,type_table,volume_lignes,colonnes_cles,colonnes_parametre,colonnes_valeur,colonnes_date,colonnes_unite,colonnes_station,destination_cible_proposee,priorite,statut_validation
abh_sebou_ismail,public,adm_cercles_abhs,référentiel,61,code_cercle | code_province,,,,,code_province | geom,staging.raw_adm_cercles_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,adm_communes_abhs,référentiel,346,code_region | code_province | code_cercle | code_commune,,,,code_commune | commune_fr | commune_ar,code_province | province_fr | province_ar | code_commune | commune_fr | commune_ar | geom,staging.raw_adm_communes_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,adm_douars_abhs,référentiel,6013,id | code_commune | code_douar,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_adm_douars_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,adm_provinces_abhs,référentiel,21,code_region | code_province,,,,,code_province | province_fr | geom,staging.raw_adm_provinces_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,adm_regions_abhs,autre,6,code_region,,,,,geom,staging.raw_adm_regions_abhs puis destination à confirmer,Moyenne,PENDING
abh_sebou_ismail,public,adm_villes_abhs,référentiel,33,id | code_commune,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_adm_villes_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,barrages_abhs,hydrologie,34,id | code_commune,,apports_hm,,code_commune | vrn_hm3,code_commune | coord_x | coord_y | geom,staging.raw_barrages_abhs puis hydro.* après validation stations et unités,Élevée,PENDING
abh_sebou_ismail,public,bassin_sebou,référentiel,1,id,,,,,geom,staging.raw_bassin_sebou puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,bathymetries_barrages_abhs,hydrologie,62359,id,,volume_mm3,,volume_mm3,,staging.raw_bathymetries_barrages_abhs puis hydro.* après validation stations et unités,Élevée,PENDING
abh_sebou_ismail,public,capteurs_abhs,qualité,0,code_capteur | code_station | code_type_mesure | code_commune,code_type_mesure,code_type_mesure | mode_mesure,date_installation,code_commune,code_station | ire_station | date_installation | code_commune,staging.raw_capteurs_abhs puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,decharges_abhs,pollution,233,id | code_decharge | code_commune,,,date_mise_service,code_commune,station_traitement_lixiviat | coord_x | coord_y | code_commune | geom,staging.raw_decharges_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,fosses_septiques_abhs,référentiel,20,id | code_commune,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_fosses_septiques_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,huileries_abhs,pollution,612,id | code_commune | code_huilerie,,,,code_commune,code_commune | localite | coord_x | coord_y | geom,staging.raw_huileries_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,4894,code_commune,parametre_qualite,val_qual,date_jr_prelevement,commune | code_commune,commune | code_commune | coord_x | coord_y,staging.raw_idp_2024_mesures_qualite_globale puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,3614,code_commune,parametre_qualite,val_qual,date_jr_prelevement,commune | code_commune,commune | code_commune | coord_x | coord_y,staging.raw_idp_2024_mesures_qualite_marche_cadre puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,idp_2024_src_pollution_globale,pollution,243,code_commune,parametre,ph | cond_20_c | o2_dissous | sat_prc | conditions_meteologiques | eau_ss_terr_mesures_periodiques_o_n | eau_ss_terr_debit | eau_surf_debit,date_jr_prelevement,commune | code_commune,commune | code_commune | coord_x | coord_y | echantillon_preleve_par | eau_ss_terr_duree_pompage_avant_echantillonnage,staging.raw_idp_2024_src_pollution_globale puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,idp_2024_src_pollution_marche_cadre,pollution,148,code_commune,parametre,ph | cond_20_c | o2_dissous | sat_prc | conditions_meteologiques | eau_ss_terr_mesures_periodiques_o_n | eau_ss_terr_debit | eau_surf_debit,date_jr_prelevement,commune | code_commune,commune | code_commune | coord_x | coord_y | echantillon_preleve_par | eau_ss_terr_duree_pompage_avant_echantillonnage,staging.raw_idp_2024_src_pollution_marche_cadre puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,mesures_debit_jr,hydrologie,521433,code_debit,,code_debit | debit_jr,date_jr,,ire_station,staging.raw_mesures_debit_jr puis hydro.* après validation stations et unités,Élevée,PENDING
