source_schema,source_table,source_column_parametre,source_column_valeur,parametre_source,parametre_source_normalise,parametre_standard_metier,code_parametre_canonique,mapping_status,mapping_confidence,unite_source,unite_source_resolue,unite_standard,statut_unite,conversion_regle,regle_parsing,qa_flags,scope_migration,volume_total,nb_non_numerique,exemples_valeurs,action_migration,commentaire_preparation
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,CT,ct,CT,CT,MAPPED,0.95,mg/L,UFC/100 mL,UFC/100 mL,UNIT_ASSUMED,aucune,numeric_microbio + decimal_comma + scientific_notation + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_CONFLICT | NON_NUMERIC_PRESENT | UNIT_ASSUMED,MESURE,184,173,"valeur=3,4x102; date=2024-09-13; point=S1 (Aval_conf_Rejet_MOG (Mograne) || valeur=1,8x102; date=2024-09-13; point=S2 (Barrage de garde) || valeur=1,1x102; date=2024-09-13; point=S3 (Station Pompage Ferme (Amont Bge de garde)",MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,Ag,ag,Ag,AG,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,9,0,valeur=19; date=1994-07-06; point=1508/9 || valeur=19; date=1994-07-11; point=3502/8 || valeur=0.03; date=1994-09-21; point=756/16,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,CF,cf,CF,CF,MAPPED,0.95,UFC/100mL,UFC/100 mL,UFC/100 mL,UNIT_OK,aucune,numeric_microbio + decimal_comma + scientific_notation + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK | NON_NUMERIC_PRESENT,MESURE,184,164,"valeur=2,4x102; date=2024-09-13; point=S1 (Aval_conf_Rejet_MOG (Mograne) || valeur=1,5x102; date=2024-09-13; point=S2 (Barrage de garde) || valeur=90; date=2024-09-13; point=S3 (Station Pompage Ferme (Amont Bge de garde)",MIGRER_AVEC_FLAG,
staging,raw_mesures_qualite_nappes,parametre_qualite,val_qual_nap,Al,al,Al,AL,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,4,0,valeur=0.07; date=1991-03-27; point=2881/15 || valeur=0.02; date=1991-03-28; point=2043/15 || valeur=0.051; date=2007-02-16; point=3340/14,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,Al,al,Al,AL,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,54,0,valeur=6; date=1991-08-19; point=4220/14 || valeur=19; date=1994-07-06; point=1508/9 || valeur=19; date=1994-07-11; point=3502/8,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_suivi_qualite_brg_garde_hebdo,parametre_qualite,val_qual_brg_garde_hebdo,Aluminium(mg/l),aluminium_mg_l,Al,AL,MAPPED,0.95,mg/l,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,182,0,valeur=0.0408; date=2024-11-20; point=n/a || valeur=0.037; date=2024-12-11; point=n/a || valeur=0.0426; date=2025-01-08; point=n/a,MIGRER,
staging,raw_suivi_qualite_sebou_jr,parametre_qualite,val_qual_sebou_jr,Ammonium,ammonium,NH4+,NH4,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + pas_conversion_N_NH4 + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,4572,0,valeur=NaN; date=2023-12-07; point=2263/15 || valeur=NaN; date=2023-12-08; point=2263/15 || valeur=32.112; date=2023-12-09; point=2263/15,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_barrages_abhs,,apports_hm,apports_hm,apports_hm,Apports_hm3,APPORTS_HM3,MAPPED,0.95,à confirmer,Mm³,Mm³,UNIT_ASSUMED,aucune,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,34,0,valeur=84; date=n/a; point=035310905 || valeur=247; date=n/a; point=035310311 || valeur=557; date=n/a; point=034510301,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_niv_eau_barrages,,apports_mm3,apports_mm3,apports_mm3,Apports_hm3,APPORTS_HM3,MAPPED,0.95,Mm3,Mm3,Mm³,UNIT_OK,aucune,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,85166,0,valeur=1.3886; date=1996-12-01; point=1182/9 || valeur=0.9316; date=1996-12-02; point=1182/9 || valeur=0.9416; date=1996-12-03; point=1182/9,MIGRER,
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,SF,sf,SF,SF,MAPPED,0.95,g/L,UFC/100 mL,UFC/100 mL,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_CONFLICT | NON_NUMERIC_PRESENT | UNIT_ASSUMED,MESURE,184,164,"valeur=3,9x102; date=2024-09-13; point=S1 (Aval_conf_Rejet_MOG (Mograne) || valeur=65; date=2024-09-13; point=S2 (Barrage de garde) || valeur=1,4x102; date=2024-09-13; point=S3 (Station Pompage Ferme (Amont Bge de garde)",MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
