classe_geo,nb_tables,nb_entites,tables_sources,role_migration,statut_validation
STEP,8,161,infra.step | infra.step_industrielle | infra.step_inventaire_pollution | staging.raw_step_abhs | staging.raw_step_ind_abhs | staging.step_ind_abhs | staging.steps | staging.steps_industrielles,inventaire traitement / rejet,A_VERIFIER
abattoirs,4,178,infra.rejet_abattoir | infra.rejet_abattoir_inventaire_pollution | staging.raw_rejets_abattoirs_abhs | staging.rejet_abattoir,inventaire pollution,A_VERIFIER
autres,33,73339,geo.nappe | infra.fosses_septiques_abhs | infra.profil_station | infra.rejet_inventaire_pollution | infra.stm | meteo.mesure_precipitation_annuelle_max | staging.mesures_evaporation_jr | staging.mesures_precipitations_jr_max | staging.points_eau_abhs | staging.profils_stations | staging.raw_adm_cercles_abhs | staging.raw_adm_communes_abhs | staging.raw_adm_douars_abhs | staging.raw_adm_provinces_abhs | staging.raw_adm_regions_abhs | staging.raw_adm_villes_abhs | staging.raw_fosses_septiques_abhs | staging.raw_idp_2024_mesures_qualite_globale | staging.raw_idp_2024_mesures_qualite_marche_cadre | staging.raw_idp_2024_src_pollution_globale | staging.raw_idp_2024_src_pollution_marche_cadre | staging.raw_mesures_evaporation_jr | staging.raw_mesures_precipitations_jr_max | staging.raw_nappes_abhs | staging.raw_points_eau_abhs | staging.raw_profils_stations | staging.raw_rejets_domestiques_abhs | staging.raw_sources_abhs | staging.raw_stm_abhs | staging.rejets_brutes | staging.sources_polution_mesure | staging.stm_abhs | staging.stms,a qualifier,A_VERIFIER
barrages,2,68,infra.barrages | staging.raw_barrages_abhs,rattachement des mesures barrage et stockages,A_VERIFIER
bassins,3,17,geo.bassin_versant | staging.raw_bassin_sebou | staging.raw_sous_bassin_sebou,coherence spatiale macro,A_VERIFIER
decharges,6,616,infra.decharge | infra.decharge_inventaire_pollution | infra.decharge_inventaire_pollution_general | staging.decharges | staging.decharges_Abondonees | staging.raw_decharges_abhs,inventaire pollution,A_VERIFIER
huileries,4,1830,infra.huilerie | infra.huilerie_inventaire_pollution | staging.huileries | staging.raw_huileries_abhs,inventaire pollution,A_VERIFIER
mines,4,123,infra.mine | infra.mine_inventaire_pollution | staging.mines | staging.raw_mines_abhs,inventaire pollution,A_VERIFIER
points eau,1,46,infra.point_eau,rattachement nappes et points de prelevement,A_VERIFIER
points pollution,1,141,qualite.source_pollution_prelevement,rattachement des prelevements pollution,A_VERIFIER
rejets domestiques,1,362,infra.rejet_domestique,inventaire pollution,A_VERIFIER
rejets industriels,2,22,infra.rejet_industriel | staging.raw_rejets_ind_abhs,inventaire pollution,A_VERIFIER
reseau hydrographique,2,725,geo.reseau_hydrographique | staging.raw_reseau_hydro_abhs,reference proximite des rejets et stations riviere,A_VERIFIER
source de pollution,1,135,geo.source,rattachement sources / debit sources,A_VERIFIER
sous-bassins,16,207,geo._bak_sous_bassin_swat_leben_innaouen_20260403 | geo.sous_bassin_abh | geo.sous_bassin_swat_bas_sebou | geo.sous_bassin_swat_bassin_cotier | geo.sous_bassin_swat_beht | geo.sous_bassin_swat_haut_sebou | geo.sous_bassin_swat_leben_innaouen | geo.sous_bassin_swat_moyen_sebou | geo.sous_bassin_swat_ouergha | staging.sous_bassin_swat_bas_sebou_new | staging.sous_bassin_swat_bassin_cotier_new | staging.sous_bassin_swat_beht_new | staging.sous_bassin_swat_haut_sebou_new | staging.sous_bassin_swat_leben_innaouen_new | staging.sous_bassin_swat_moyen_sebou_new | staging.sous_bassin_swat_ouergha_new,coherence spatiale fine / modeles,A_VERIFIER
stations,3,1170,infra.stations | infra.stations_mesure | staging.raw_stations_abhs,point de mesure / rattachement qualite-hydro-meteo,A_VERIFIER
