table_source,id_ligne,date,code_source,nom_source,parametre,raison_orphelin,proposition_action
staging.raw_suivi_qualite_brg_garde_hebdo,1,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,2,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,3,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,4,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,5,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,6,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,7,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,8,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,9,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,10,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,11,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,12,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,13,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,14,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,15,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,16,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,17,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,18,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,19,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,20,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,21,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,22,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,23,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,24,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,25,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,26,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,27,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,28,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,29,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,30,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,31,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,32,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,33,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,34,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,35,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,36,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,37,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,38,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,39,2024-01-03,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,40,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,41,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,42,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,43,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,44,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,45,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,46,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,47,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,48,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,49,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,50,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,51,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,52,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,53,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,54,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,55,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,56,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,57,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,58,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,59,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,60,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,61,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,62,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,63,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,64,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,65,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,66,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,67,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,68,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,69,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,70,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,71,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,72,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,73,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,74,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,75,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,76,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
