source_table,source_row_id,source_date,geo_attach_mode,geo_ref,code_parametre_canonique,parametre_standard_metier,valeur_brute,valeur_preparee,unite_finale,flags_qa
raw_barrages_abhs,1,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,216,216.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,1,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,18,18.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,1,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,0,0.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,1,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,40,40.0,Mm³,
raw_barrages_abhs,10,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,1100,1100.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,10,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,250,250.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,10,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,510,510.0,Mm³,
raw_barrages_abhs,10,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,98,98.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,11,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,100,100.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,11,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,112,112.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,11,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,317,317.0,Mm³,
raw_barrages_abhs,11,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,154,154.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,2,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,217,217.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,2,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,266,266.0,Mm³,
raw_barrages_abhs,2,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,68,68.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,2,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,860,860.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,23,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,303,303.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,23,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,500,500.0,Mm³,
raw_barrages_abhs,23,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,950,950.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,23,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,0,0.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,3,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,170,170.0,Mm³,
raw_barrages_abhs,3,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,395,395.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,3,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,60,60.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,3,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,156,156.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,4,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,88,88.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,4,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,0,0.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,4,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,9366,9366.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,4,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,3800,3800.0,Mm³,
raw_barrages_abhs,5,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,0,0.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,5,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,400,400.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,5,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,81.5,81.5,Mm³,
raw_barrages_abhs,5,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,67,67.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,6,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,303,303.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,6,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,55,55.0,m,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,6,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,55.5,55.5,Mm³,
raw_barrages_abhs,6,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,154,154.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,7,,GEO_SCOPE_VALIDATED,,VOLUME,Volume,1186,1186.0,Mm³,
raw_barrages_abhs,7,,GEO_SCOPE_VALIDATED,,APPORTS_HM3,Apports_hm3,0,0.0,Mm³,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,7,,GEO_SCOPE_VALIDATED,,MONTANT_MD,Montant_MD,450,450.0,Millions Dirhams,QA_REQUIRED | UNIT_ASSUMED
raw_barrages_abhs,7,,GEO_SCOPE_VALIDATED,,HAUTEUR,Hauteur,72,72.0,m,QA_REQUIRED | UNIT_ASSUMED
