table_a,id_point_a,x_a,y_a,table_b,id_point_b,x_b,y_b,distance_m,type_match
staging.raw_idp_2024_mesures_qualite_globale,10,404650.0,423453.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1000,396617.0,425212.0,8223.331,distant
staging.raw_idp_2024_mesures_qualite_globale,100,411388.0,436987.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1292,411255.0,436360.0,640.951,distant
staging.raw_idp_2024_mesures_qualite_globale,1000,491774.0,413700.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1427,492000.0,413900.0,301.788,distant
staging.raw_idp_2024_mesures_qualite_globale,1001,491774.0,413700.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1427,492000.0,413900.0,301.788,distant
staging.raw_idp_2024_mesures_qualite_globale,1002,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1003,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1004,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1005,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1006,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1007,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1008,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1009,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,101,411388.0,436987.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1292,411255.0,436360.0,640.951,distant
staging.raw_idp_2024_mesures_qualite_globale,1010,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1011,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1012,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1013,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1014,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1015,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1016,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1017,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1018,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1019,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,102,411388.0,436987.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1292,411255.0,436360.0,640.951,distant
staging.raw_idp_2024_mesures_qualite_globale,1020,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
staging.raw_idp_2024_mesures_qualite_globale,1021,543094.0,401261.0,staging.raw_idp_2024_mesures_qualite_marche_cadre,1023,543300.0,399700.0,1574.534,distant
