table_source,pts_prelevement_original,pts_prelevement_normalise,occurrence,exemples
staging.raw_idp_2024_mesures_qualite_globale,SJH_DOM1_R1 (EM),sjh dom1 r1 em,44,SJH_DOM1_R1 (EM)
staging.raw_idp_2024_mesures_qualite_globale,AVAL AIN KARMA,aval ain karma,43,AVAL AIN KARMA
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET BOUFEKRANE,aval rejet boufekrane,43,AVAL REJET BOUFEKRANE
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET MOULAY DRISS ZARHOUN,aval rejet moulay driss zarhoun,43,AVAL REJET MOULAY DRISS ZARHOUN
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET MOULAY YAACOUB,aval rejet moulay yaacoub,43,AVAL REJET MOULAY YAACOUB
staging.raw_idp_2024_mesures_qualite_globale,Aval STEP (Aval Conf. Chaaba avec Oued Tiflet),aval step aval conf chaaba avec oued tiflet,43,Aval STEP (Aval Conf. Chaaba avec Oued Tiflet)
staging.raw_idp_2024_mesures_qualite_globale,AVAL STEP OUED AMLIL,aval step oued amlil,43,AVAL STEP OUED AMLIL
staging.raw_idp_2024_mesures_qualite_globale,AVAL VILLAGE AIT SIBERNE,aval village ait siberne,43,AVAL VILLAGE AIT SIBERNE
staging.raw_idp_2024_mesures_qualite_globale,BFK_PDOM1_R1 (EM),bfk pdom1 r1 em,43,BFK_PDOM1_R1 (EM)
staging.raw_idp_2024_mesures_qualite_globale,BSM_PDOM1_R2 (EM),bsm pdom1 r2 em,43,BSM_PDOM1_R2 (EM)
staging.raw_idp_2024_mesures_qualite_globale,MERJA FOUARATE,merja fouarate,43,MERJA FOUARATE
staging.raw_idp_2024_mesures_qualite_globale,PT. O. BEHT AVAL BIORISINE,pt o beht aval biorisine,43,PT. O. BEHT AVAL BIORISINE
staging.raw_idp_2024_mesures_qualite_globale,Rejet Industriel (SMK),rejet industriel smk,43,Rejet Industriel (SMK)
staging.raw_idp_2024_mesures_qualite_globale,SBA_DOM1_R1 (EM),sba dom1 r1 em,43,SBA_DOM1_R1 (EM)
staging.raw_idp_2024_mesures_qualite_globale,TAZ_PDOM_R5 (E.M),taz pdom r5 e m,43,TAZ_PDOM_R5 (E.M)
staging.raw_idp_2024_mesures_qualite_globale,AVAL BOULEMANE,aval boulemane,42,AVAL BOULEMANE
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR AGOURAI,rejet abattoir agourai,42,REJET ABATTOIR AGOURAI
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR OUED AMLIL ,rejet abattoir oued amlil,42,REJET ABATTOIR OUED AMLIL 
staging.raw_idp_2024_mesures_qualite_globale,REJET BOULEMANE (EM),rejet boulemane em,42,REJET BOULEMANE (EM)
staging.raw_idp_2024_mesures_qualite_globale,S14 (Aval_Conf_Rejet_HFT (Al Haouafate),s14 aval conf rejet hft al haouafate,42,S14 (Aval_Conf_Rejet_HFT (Al Haouafate)
staging.raw_idp_2024_mesures_qualite_globale,S15 (Aval_Conf_Sebou_ Ouagha (Dour El Kbara),s15 aval conf sebou ouagha dour el kbara,42,S15 (Aval_Conf_Sebou_ Ouagha (Dour El Kbara)
staging.raw_idp_2024_mesures_qualite_globale,S16 (Aval_Conf_Rejet_KHN (Khnichet),s16 aval conf rejet khn khnichet,42,S16 (Aval_Conf_Rejet_KHN (Khnichet)
staging.raw_idp_2024_mesures_qualite_globale,S28 (Aval_Conf_Rejet_ORG (Ouartzagh),s28 aval conf rejet org ouartzagh,42,S28 (Aval_Conf_Rejet_ORG (Ouartzagh)
staging.raw_idp_2024_mesures_qualite_globale,S29 (Aval_Conf_Rejet_Douar Ouled Jrir,s29 aval conf rejet douar ouled jrir,42,S29 (Aval_Conf_Rejet_Douar Ouled Jrir
staging.raw_idp_2024_mesures_qualite_globale,S30 (Aval_Conf_Rejet_SHZ (Sidi Harazem),s30 aval conf rejet shz sidi harazem,42,S30 (Aval_Conf_Rejet_SHZ (Sidi Harazem)
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET INDUSTRIEL MERJA,aval rejet industriel merja,41,AVAL REJET INDUSTRIEL MERJA
staging.raw_idp_2024_mesures_qualite_globale,S18 (Aval Sidi Daoud),s18 aval sidi daoud,41,S18 (Aval Sidi Daoud)
staging.raw_idp_2024_mesures_qualite_globale,S20 (Aval STEP Fes),s20 aval step fes,41,S20 (Aval STEP Fes)
staging.raw_idp_2024_mesures_qualite_globale,S21 (Aval_conf_Leban_ Inaoun,s21 aval conf leban inaoun,41,S21 (Aval_conf_Leban_ Inaoun
staging.raw_idp_2024_mesures_qualite_globale,S23 (Aval_Conf_Rejet_JEM (Jorf el MALHA ),s23 aval conf rejet jem jorf el malha,41,S23 (Aval_Conf_Rejet_JEM (Jorf el MALHA )
staging.raw_idp_2024_mesures_qualite_globale,S27 (Aval_Conf_Rejet_LOD (Louadaine),s27 aval conf rejet lod louadaine,41,S27 (Aval_Conf_Rejet_LOD (Louadaine)
staging.raw_idp_2024_mesures_qualite_globale,S8 (Aval Ferme Agricole sidi kamel),s8 aval ferme agricole sidi kamel,41,S8 (Aval Ferme Agricole sidi kamel)
staging.raw_idp_2024_mesures_qualite_globale,AVAL AIN LEUH,aval ain leuh,39,AVAL AIN LEUH
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET AIN CHEGGAG,aval rejet ain cheggag,39,AVAL REJET AIN CHEGGAG
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET EL MENZEL,aval rejet el menzel,39,AVAL REJET EL MENZEL
staging.raw_idp_2024_mesures_qualite_globale,AVAL REJET SEFROU,aval rejet sefrou,39,AVAL REJET SEFROU
staging.raw_idp_2024_mesures_qualite_globale,AVAL VILLAGE BNI AMMART,aval village bni ammart,39,AVAL VILLAGE BNI AMMART
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR TAHLA,rejet abattoir tahla,39,REJET ABATTOIR TAHLA
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR GUIGOU,rejet abattoir guigou,38,REJET ABATTOIR GUIGOU
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR MOULAY DRISS ZRHOUN ,rejet abattoir moulay driss zrhoun,38,REJET ABATTOIR MOULAY DRISS ZRHOUN 
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR OULED ZBAIR,rejet abattoir ouled zbair,38,REJET ABATTOIR OULED ZBAIR
staging.raw_idp_2024_mesures_qualite_globale,ALH_PDOM1_R4 (E.M),alh pdom1 r4 e m,36,ALH_PDOM1_R4 (E.M)
staging.raw_idp_2024_mesures_qualite_globale,BBR_PDS_R4  (E.M),bbr pds r4 e m,36,BBR_PDS_R4  (E.M)
staging.raw_idp_2024_mesures_qualite_globale,BBT_PDS_R3 (E.M),bbt pds r3 e m,36,BBT_PDS_R3 (E.M)
staging.raw_idp_2024_mesures_qualite_globale,MNZ_DOM_R10  (E.M),mnz dom r10 e m,36,MNZ_DOM_R10  (E.M)
staging.raw_idp_2024_mesures_qualite_globale,SEF_PDOM_R3 (E.M),sef pdom r3 e m,36,SEF_PDOM_R3 (E.M)
staging.raw_idp_2024_mesures_qualite_globale,Amont STEP Taounate,amont step taounate,32,Amont STEP Taounate
staging.raw_idp_2024_mesures_qualite_globale,Aval STEP Taounate,aval step taounate,32,Aval STEP Taounate
staging.raw_idp_2024_mesures_qualite_globale,Amont STEP Khémisset ,amont step khemisset,31,Amont STEP Khémisset 
staging.raw_idp_2024_mesures_qualite_globale,Aval STEP Khémisset ,aval step khemisset,31,Aval STEP Khémisset 
staging.raw_idp_2024_mesures_qualite_globale,AVAL STEP AZROU,aval step azrou,29,AVAL STEP AZROU
staging.raw_idp_2024_mesures_qualite_globale,AVAL STEP EL HAJEB,aval step el hajeb,29,AVAL STEP EL HAJEB
staging.raw_idp_2024_mesures_qualite_globale,AVAL STEP IFRANE,aval step ifrane,29,AVAL STEP IFRANE
staging.raw_idp_2024_mesures_qualite_globale,PA SIDI MOKHFI,pa sidi mokhfi,29,PA SIDI MOKHFI
staging.raw_idp_2024_mesures_qualite_globale,Station Hajria,station hajria,28,Station Hajria
staging.raw_idp_2024_mesures_qualite_globale,ARB_DECH1_PE1 (AIN LABROUAL),arb dech1 pe1 ain labroual,26,ARB_DECH1_PE1 (AIN LABROUAL)
staging.raw_idp_2024_mesures_qualite_globale,CHG_DEC_PE1 (EL HOUD),chg dec pe1 el houd,26,CHG_DEC_PE1 (EL HOUD)
staging.raw_idp_2024_mesures_qualite_globale,GHF_PDE_P1,ghf pde p1,26,GHF_PDE_P1
staging.raw_idp_2024_mesures_qualite_globale,GHF_PDE_P1 (PUITS MRIZIEK),ghf pde p1 puits mriziek,26,GHF_PDE_P1 (PUITS MRIZIEK)
staging.raw_idp_2024_mesures_qualite_globale,IMM_DECH_PE1 (FORAGE ONEE-BO),imm dech pe1 forage onee bo,26,IMM_DECH_PE1 (FORAGE ONEE-BO)
staging.raw_idp_2024_mesures_qualite_globale,M_DECH_PE1 (FORAGE IRE 2153/15),m dech pe1 forage ire 2153 15,26,M_DECH_PE1 (FORAGE IRE 2153/15)
