domaine,table_source,table_cible,parametre_source,parametre_canonique,unite,type_metier,entite_geo_type,entite_geo_id,entite_geo_code,entite_geo_nom,champ_rattachement,x,y,geom_present,statut_geo,commentaire,action_recommandee,volume_total,volume_geo_ok,volume_no_ref,volume_no_xy,volume_ambigu,volume_referentiel_manquant
hydro,hydro.barrage_bathymetrie,hydro.barrage_bathymetrie,Hauteur_barrage,Hauteur_barrage,m,barrage,barrage,MULTIPLE,MULTIPLE,MULTIPLE,barrage_id / ire_barrage,,,true,GEO_OK,volume=62359 | geo_ok=62359,MIGRER,62359,62359,0,0,0,0
hydro,hydro.barrage_bathymetrie,hydro.barrage_bathymetrie,Surface_barrage,Surface_barrage,km2,barrage,barrage,MULTIPLE,MULTIPLE,MULTIPLE,barrage_id / ire_barrage,,,true,GEO_OK,volume=62359 | geo_ok=62359,MIGRER,62359,62359,0,0,0,0
hydro,hydro.barrage_bathymetrie,hydro.barrage_bathymetrie,Volume_barrage,Volume_barrage,Mm3,barrage,barrage,MULTIPLE,MULTIPLE,MULTIPLE,barrage_id / ire_barrage,,,true,GEO_OK,volume=62359 | geo_ok=62359,MIGRER,62359,62359,0,0,0,0
hydro,hydro.mesure_barrage,hydro.mesure_barrage,Niveau_eau_barrage,Niveau_eau_barrage,m,barrage,barrage,MULTIPLE,MULTIPLE,MULTIPLE,barrage_id / ire_barrage,,,true,GEO_OK,volume=84831 | geo_ok=84831 | reference_altitude attendue = NGM,MIGRER,84831,84831,0,0,0,0
hydro,hydro.mesure_barrage,hydro.mesure_barrage,Volume_barrage,Volume_barrage,Mm3,barrage,barrage,6cf24a99-082d-4405-9915-31c8ee7a91db,1182/9,al wahda,barrage_id / ire_barrage,,,true,GEO_OK,volume=10136 | geo_ok=10136,MIGRER,10136,10136,0,0,0,0
hydro,hydro.mesure_debit,hydro.mesure_debit,Debit,Debit,m3/s,hydrologie,station,MULTIPLE,MULTIPLE,MULTIPLE,station_id,,,true,GEO_OK,volume=652446 | geo_ok=652446,MIGRER,652446,652446,0,0,0,0
hydro,hydro.mesure_debit_mensuel,hydro.mesure_debit_mensuel,Debit_mensuel,Debit_mensuel,m3/s,hydrologie,station,MULTIPLE,MULTIPLE,MULTIPLE,station_id,,,true,GEO_OK,volume=19316 | geo_ok=19316,MIGRER,19316,19316,0,0,0,0
hydro,hydro.mesure_debit_source,hydro.mesure_debit_source,Debit_source,Debit_source,m3/s,hydrologie,source,MULTIPLE,MULTIPLE,MULTIPLE,source_id,,,true,GEO_AMBIGU,volume=3978 | geo_ok=3552 | geo_ambigu=426 | rattachement via geo.source; doublons de source a arbitrer,RATTACHER_MANUELLEMENT,3978,3552,0,0,426,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ag,Ag,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ag,Ag,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ag,Ag,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Al,Al,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Al,Al,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Al,Al,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,As,As,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,As,As,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,As,As,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ba,Ba,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ba,Ba,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Ba,Ba,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Be,Be,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Be,Be,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Be,Be,,idp_2024,point_pollution,b844a5f2-373d-401b-b40d-590d19a7ac5a,,Rejet Industriel (SMK),coord_x/coord_y,493126.0,361075.0,true,GEO_XY_OK,volume=3 | xy=3,MIGRER_AVEC_FLAG,3,3,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Bilan_Ionique,Bilan_Ionique,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=3 | xy=3,RATTACHER_MANUELLEMENT,3,0,0,0,3,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Bilan_Ionique,Bilan_Ionique,,idp_2024,point_prelevement,,,,coord_x/coord_y,514759.0,421189.0,false,GEO_NO_REF,volume=13 | xy=13,BACKLOG_GEO,13,0,13,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Bilan_Ionique,Bilan_Ionique,,idp_2024,point_eau,cf39300f-90fa-4e2a-bf9f-4b1fc6ecb297,,Forage belaje,coord_x/coord_y,453410.0,442673.0,true,GEO_XY_OK,volume=12 | xy=12,MIGRER_AVEC_FLAG,12,12,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CF,CF,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=77 | xy=77,RATTACHER_MANUELLEMENT,77,0,0,0,77,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CF,CF,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CF,CF,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=30 | xy=30,MIGRER_AVEC_FLAG,30,30,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CO3,CO3,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CO3,CO3,,idp_2024,point_prelevement,,,,coord_x/coord_y,514759.0,421189.0,false,GEO_NO_REF,volume=12 | xy=12,BACKLOG_GEO,12,0,12,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CO3,CO3,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=18 | xy=18,MIGRER_AVEC_FLAG,18,18,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CT,CT,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=77 | xy=77,RATTACHER_MANUELLEMENT,77,0,0,0,77,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CT,CT,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
