source_table,parametre,type_entite_geo,nom_propose,code_propose,x,y,geom_wkt,attributs_detectes,table_geo_cible,confiance,justification
staging.raw_idp_2024_mesures_qualite_globale,[multi],autre,MERJA FOUARATE,staging_raw_idp_2024_mesures_qualite_globale_merja_fouarate,393481.0,408618.0,POINT(393481.000 408618.000),"{""commune"": ""Kenitra"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""MERJA FOUARATE"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""Ag"", ""Al"", ""As"", ""Ba"", ""Be"", ""CF"", ""CT"", ""Ca++"", ""Cd"", ""Cl-"", ""Co"", ""CrT"", ""Cu"", ""DBO5"", ""DCO"", ""Fe"", ""Hg"", ""Huiles Graisses"", ""K+"", ""Li"", ""MES"", ""Mg++"", ""Mn"", ""Mo"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""Ni"", ""PO43-"", ""PT"", ""Pb"", ""Phénol"", ""SF"", ""SO4--"", ""Sb"", ""Se"", ""Sn"", ""TH"", ""Tl"", ""V"", ""Zn""], ""volume"": 43, ""nearest"": [{""table"": ""qualite.source_pollution_prelevement"", ""id"": ""b57c0c10-c128-4389-983e-81325767bcb9"", ""code"": """", ""name"": ""AVAL REJET INDUSTRIEL MERJA"", ""type"": ""point_pollution"", ""distance_m"": 874.714}, {""table"": ""infra.rejet_domestique"", ""id"": ""251"", ""code"": ""KEN_dom1_R.B"", ""name"": ""KEN_dom1_R.B"", ""type"": ""rejet_domestique"", ""distance_m"": 1000.317}, {""table"": ""infra.rejet_domestique"", ""id"": ""252"", ""code"": ""KEN_dom1_R.B"", ""name"": ""KEN_dom1_R.B"", ""type"": ""rejet_domestique"", ""distance_m"": 1000.317}]}",infra.stations_mesure,FAIBLE,"Point orphelin avec XY, type probable=autre, nearest=qualite.source_pollution_prelevement:AVAL REJET INDUSTRIEL MERJA:874.714m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],rejet,S1 (Aval_conf_Rejet_MOG (Mograne),staging_raw_idp_2024_mesures_qualite_globale_s1_aval_conf_rejet_mog_mograne,404650.0,423453.0,POINT(404650.000 423453.000),"{""commune"": ""Mograne"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S1 (Aval_conf_Rejet_MOG (Mograne)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""1ccf343d-09e7-4948-a937-b12d910f24a9"", ""code"": ""3502/8"", ""name"": ""aval confluence sebou /beht"", ""type"": ""station"", ""distance_m"": 155.272}, {""table"": ""infra.stations_mesure"", ""id"": ""1ccf343d-09e7-4948-a937-b12d910f24a9"", ""code"": ""3502/8"", ""name"": ""aval confluence sebou /beht"", ""type"": ""station"", ""distance_m"": 155.272}, {""table"": ""api.v_station_dimension"", ""id"": ""af7cdd75-c4f6-4850-98dc-54127b4d118a"", ""code"": ""636/8"", ""name"": ""forage rak mograne"", ""type"": ""station"", ""distance_m"": 307.096}]}",qualite.source_pollution_prelevement,FORTE,"Point orphelin avec XY, type probable=rejet, nearest=api.v_station_dimension:aval confluence sebou /beht:155.272m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],barrage,S2 (Barrage de garde),staging_raw_idp_2024_mesures_qualite_globale_s2_barrage_de_garde,407303.0,432473.0,POINT(407303.000 432473.000),"{""commune"": ""Mograne"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S2 (Barrage de garde)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""c1299320-3bdb-4bb3-8bbf-0f9dc3ca71ef"", ""code"": ""3738/8"", ""name"": ""amont barrage de garde"", ""type"": ""station"", ""distance_m"": 468.838}, {""table"": ""api.v_station_dimension"", ""id"": ""5533ab49-e2ed-4580-862d-32146588bbf5"", ""code"": ""3546/8"", ""name"": ""brg garde du sebou"", ""type"": ""station"", ""distance_m"": 468.838}, {""table"": ""infra.stations_mesure"", ""id"": ""c1299320-3bdb-4bb3-8bbf-0f9dc3ca71ef"", ""code"": ""3738/8"", ""name"": ""amont barrage de garde"", ""type"": ""station"", ""distance_m"": 468.838}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=barrage, nearest=api.v_station_dimension:amont barrage de garde:468.838m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],station,S3 (Station Pompage Ferme (Amont Bge de garde),staging_raw_idp_2024_mesures_qualite_globale_s3_station_pompage_ferme_amont_bge_,408732.0,432361.0,POINT(408732.000 432361.000),"{""commune"": ""Mograne"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S3 (Station Pompage Ferme (Amont Bge de garde)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""c1299320-3bdb-4bb3-8bbf-0f9dc3ca71ef"", ""code"": ""3738/8"", ""name"": ""amont barrage de garde"", ""type"": ""station"", ""distance_m"": 1902.16}, {""table"": ""api.v_station_dimension"", ""id"": ""5533ab49-e2ed-4580-862d-32146588bbf5"", ""code"": ""3546/8"", ""name"": ""brg garde du sebou"", ""type"": ""station"", ""distance_m"": 1902.16}, {""table"": ""infra.stations_mesure"", ""id"": ""c1299320-3bdb-4bb3-8bbf-0f9dc3ca71ef"", ""code"": ""3738/8"", ""name"": ""amont barrage de garde"", ""type"": ""station"", ""distance_m"": 1902.16}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=station, nearest=api.v_station_dimension:amont barrage de garde:1902.16m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],station,S4 (Amont station pompage ferme),staging_raw_idp_2024_mesures_qualite_globale_s4_amont_station_pompage_ferme,410306.0,433218.0,POINT(410306.000 433218.000),"{""commune"": ""Mograne"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S4 (Amont station pompage ferme)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""c1299320-3bdb-4bb3-8bbf-0f9dc3ca71ef"", ""code"": ""3738/8"", ""name"": ""amont barrage de garde"", ""type"": ""station"", ""distance_m"": 3544.282}, {""table"": ""api.v_station_dimension"", ""id"": ""5533ab49-e2ed-4580-862d-32146588bbf5"", ""code"": ""3546/8"", ""name"": ""brg garde du sebou"", ""type"": ""station"", ""distance_m"": 3544.282}, {""table"": ""infra.stations_mesure"", ""id"": ""c1299320-3bdb-4bb3-8bbf-0f9dc3ca71ef"", ""code"": ""3738/8"", ""name"": ""amont barrage de garde"", ""type"": ""station"", ""distance_m"": 3544.282}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=station, nearest=api.v_station_dimension:amont barrage de garde:3544.282m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],rejet,S6 (Amont ancien rejet sotrameg),staging_raw_idp_2024_mesures_qualite_globale_s6_amont_ancien_rejet_sotrameg,411388.0,436987.0,POINT(411388.000 436987.000),"{""commune"": ""Sidi Med Ben Mansour"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S6 (Amont ancien rejet sotrameg)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""b9ef0ed5-89e1-45e8-8b77-7365d6024960"", ""code"": ""1820/8"", ""name"": ""Piezometre"", ""type"": ""station"", ""distance_m"": 815.547}, {""table"": ""infra.stations_mesure"", ""id"": ""b9ef0ed5-89e1-45e8-8b77-7365d6024960"", ""code"": ""1820/8"", ""name"": ""Piezometre"", ""type"": ""station"", ""distance_m"": 815.547}, {""table"": ""api.v_station_dimension"", ""id"": ""ad7161aa-5615-46a4-8712-5ee15f997df7"", ""code"": ""1135/8"", ""name"": ""puit Ã captage cuvelÃ©"", ""type"": ""station"", ""distance_m"": 852.84}]}",qualite.source_pollution_prelevement,FORTE,"Point orphelin avec XY, type probable=rejet, nearest=api.v_station_dimension:Piezometre:815.547m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],rejet,S5 (Aval ancien rejet sotrameg),staging_raw_idp_2024_mesures_qualite_globale_s5_aval_ancien_rejet_sotrameg,411431.0,434938.0,POINT(411431.000 434938.000),"{""commune"": ""Sidi Med Ben Mansour"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S5 (Aval ancien rejet sotrameg)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""infra.point_eau"", ""id"": ""bceda482-06c9-4271-978a-76bd70c7cede"", ""code"": ""BMR_DOM_PE1"", ""name"": ""Forage CHELIK Arbi"", ""type"": ""point_eau"", ""distance_m"": 2297.945}, {""table"": ""infra.rejet_industriel"", ""id"": ""10"", ""code"": """", ""name"": ""Sotrameg"", ""type"": ""rejet_industriel"", ""distance_m"": 2827.218}, {""table"": ""api.v_station_dimension"", ""id"": ""b9ef0ed5-89e1-45e8-8b77-7365d6024960"", ""code"": ""1820/8"", ""name"": ""Piezometre"", ""type"": ""station"", ""distance_m"": 2831.416}]}",qualite.source_pollution_prelevement,FORTE,"Point orphelin avec XY, type probable=rejet, nearest=infra.point_eau:Forage CHELIK Arbi:2297.945m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],rejet,S7 (Aval_Conf_Rejet_SAT (Sidi Allal Tazi),staging_raw_idp_2024_mesures_qualite_globale_s7_aval_conf_rejet_sat_sidi_allal_t,413977.0,438108.0,POINT(413977.000 438108.000),"{""commune"": ""Sidi Allal Tazi"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S7 (Aval_Conf_Rejet_SAT (Sidi Allal Tazi)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""CF"", ""CT"", ""Ca++"", ""Cl-"", ""DBO5"", ""DCO"", ""K+"", ""MES"", ""Mg++"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""PO43-"", ""PT"", ""SF"", ""SO4--"", ""TH""], ""volume"": 19, ""nearest"": [{""table"": ""infra.rejet_domestique"", ""id"": ""263"", ""code"": ""SAT_DOM_R1"", ""name"": ""SAT_DOM_R1"", ""type"": ""rejet_domestique"", ""distance_m"": 344.646}, {""table"": ""infra.step"", ""id"": ""2"", ""code"": ""SAT_DOM"", ""name"": ""SAT_DOM"", ""type"": ""step"", ""distance_m"": 546.883}, {""table"": ""infra.point_eau"", ""id"": ""06cbb5be-2939-4f0c-9237-cb95f9004b09"", ""code"": ""SAT_DEC_PE1"", ""name"": ""Puits youness CHOUA"", ""type"": ""point_eau"", ""distance_m"": 671.965}]}",qualite.source_pollution_prelevement,FORTE,"Point orphelin avec XY, type probable=rejet, nearest=infra.rejet_domestique:SAT_DOM_R1:344.646m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],station,Aval STEP (Aval Conf. Chaaba avec Oued Tiflet),staging_raw_idp_2024_mesures_qualite_globale_aval_step_aval_conf_chaaba_avec_oue,415784.0,370014.0,POINT(415784.000 370014.000),"{""commune"": ""Ait Bouyahya Lahjama"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""Aval STEP (Aval Conf. Chaaba avec Oued Tiflet)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""Ag"", ""Al"", ""As"", ""Ba"", ""Be"", ""CF"", ""CT"", ""Ca++"", ""Cd"", ""Cl-"", ""Co"", ""CrT"", ""Cu"", ""DBO5"", ""DCO"", ""Fe"", ""Hg"", ""Huiles Graisses"", ""K+"", ""Li"", ""MES"", ""Mg++"", ""Mn"", ""Mo"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""Ni"", ""PO43-"", ""PT"", ""Pb"", ""Phénol"", ""SF"", ""SO4--"", ""Sb"", ""Se"", ""Sn"", ""TH"", ""Tl"", ""V"", ""Zn""], ""volume"": 43, ""nearest"": [{""table"": ""qualite.source_pollution_prelevement"", ""id"": ""71f14ec5-7e79-4626-adc5-b71fff2a0fcc"", ""code"": """", ""name"": ""REJET STEP TIFLET"", ""type"": ""point_pollution"", ""distance_m"": 2365.368}, {""table"": ""infra.step"", ""id"": ""29"", ""code"": ""TFL_DOM"", ""name"": ""TFL_DOM"", ""type"": ""step"", ""distance_m"": 2474.748}, {""table"": ""api.v_station_dimension"", ""id"": ""abbd0423-1320-4e97-b2fb-305c220b2d88"", ""code"": ""2401/14"", ""name"": ""aval rejet tifelt"", ""type"": ""station"", ""distance_m"": 2639.496}]}",infra.stations_mesure,FORTE,"Point orphelin avec XY, type probable=station, nearest=qualite.source_pollution_prelevement:REJET STEP TIFLET:2365.368m"
staging.raw_idp_2024_mesures_qualite_globale,[multi],autre,S8 (Aval Ferme Agricole sidi kamel),staging_raw_idp_2024_mesures_qualite_globale_s8_aval_ferme_agricole_sidi_kamel,415869.0,434092.0,POINT(415869.000 434092.000),"{""commune"": ""Sidi Kamel"", ""code_commune"": """", ""ire"": """", ""pts_prelevement"": ""S8 (Aval Ferme Agricole sidi kamel)"", ""nature"": """", ""nature_pts_prelevement"": """", ""params"": [""Ag"", ""Al"", ""As"", ""Ba"", ""Be"", ""CF"", ""CT"", ""Ca++"", ""Cd"", ""Cl-"", ""Co"", ""CrT"", ""Cu"", ""DBO5"", ""DCO"", ""Fe"", ""Hg"", ""Huiles Graisses"", ""K+"", ""MES"", ""Mg++"", ""Mn"", ""Mo"", ""NH4+"", ""NO2-"", ""NO3-"", ""NTK"", ""Na+"", ""Ni"", ""PO43-"", ""PT"", ""Pb"", ""Phénol"", ""SF"", ""SO4--"", ""Sb"", ""Se"", ""Sn"", ""TH"", ""V"", ""Zn""], ""volume"": 41, ""nearest"": [{""table"": ""api.v_station_dimension"", ""id"": ""4179b4bb-277c-4b29-80fa-300fd49eb9c2"", ""code"": ""3323/8"", ""name"": ""brg de garde / sebou"", ""type"": ""station"", ""distance_m"": 2031.028}, {""table"": ""api.v_station_dimension"", ""id"": ""01f1a32a-f424-4f5b-ab26-6cb57a601d81"", ""code"": ""1355/8"", ""name"": ""P29 a allal tazi"", ""type"": ""station"", ""distance_m"": 2031.028}, {""table"": ""infra.stations_mesure"", ""id"": ""4179b4bb-277c-4b29-80fa-300fd49eb9c2"", ""code"": ""3323/8"", ""name"": ""brg de garde / sebou"", ""type"": ""station"", ""distance_m"": 2031.028}]}",infra.stations_mesure,FAIBLE,"Point orphelin avec XY, type probable=autre, nearest=api.v_station_dimension:brg de garde / sebou:2031.028m"
