parametre,source_table,candidats_geo,ambiguite_type,decision,confiance,justification
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:265:MOG_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:2f985d34-17ac-414b-ba06-8ceb1d2ebb71:MOG_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:12:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:b9aecc56-6de3-4ff6-adf1-c79d5e432e53:SAT_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:281:RG-TFL-1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:f68798b4-5558-4cbc-897e-1d5a9d4e2f3c:RG_TFL_1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:304:MBK_DOM_R4:rejet_domestique:0.000 || qualite.source_pollution_prelevement:0fbe6e92-f62d-4f94-934e-ab696daa3593:MBK_DOM_R4:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:354:DBA_DOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:6438fc4c-16df-408e-8098-91f5c6bccd17:DBA_DOM1_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:358:rejet_domestique:rejet_domestique:0.000 || qualite.source_pollution_prelevement:4a46adb5-7b4f-4e13-8c4e-6e09e5b586f1:MBK_DOM_R6:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:324:MBK_DOM_R5:rejet_domestique:0.000 || qualite.source_pollution_prelevement:4fdf2fd1-e963-4b5c-ab6d-13d3ddd4e305:MBK_DOM_R5:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:305:MBK_DOM_R3:rejet_domestique:0.000 || qualite.source_pollution_prelevement:f76d0e0f-3d88-4c9d-b223-e57754f23b18:MBK_DOM_R3:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:285:RG-AIS-1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:a8f0df95-b166-4088-be4c-fe96ca758dcc:RG_AIS_1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:57:abattoir:rejet_abattoir:0.000 || infra.rejet_domestique:323:HFT_DOM_R3:rejet_domestique:0.000 || qualite.source_pollution_prelevement:4dd231f8-eb38-4fb5-9084-313cf923cc81:HFT_DOM_R3:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
