source_schema,source_table,source_column,parametre_observe,volume,parametre_canonique_propose,domaine,unite_reference,type_geo_supporte,statut
metadata,referentiel_parametre,code_canonique,DEBIT,2,DEBIT,hydro|qualite,m3/s,station|source,MULTIPLE_DEFINITIONS
metadata,referentiel_parametre,code_canonique,NIVEAU_EAU,1,NIVEAU_EAU,hydro,m,barrage,OK
metadata,referentiel_parametre,code_canonique,VOLUME_BARRAGE,1,VOLUME,hydro,Mm3,barrage,ALIAS_TO_MERGE
metadata,referentiel_parametre,code_canonique,LACHER,1,LACHER,hydro,Mm3/j,barrage,REWRITE_REQUIRED
staging,raw_mesures_niv_eau_barrages,niveau_eau_m_ngm,niveau_eau_m_ngm,84832,NIVEAU_EAU,hydro,m,barrage,OK
staging,raw_mesures_niv_eau_barrages,volume_mm3,volume_mm3,10136,VOLUME,hydro,Mm3,barrage,OK
staging,raw_mesures_niv_eau_barrages,restitutions_mm3,RESTITUTION,84831,LACHER,hydro,Mm3/j,barrage,OK_RULE_VALIDATED
staging,raw_mesures_niv_eau_barrages,apports_mm3,apports_mm3,84821,APPORTS_HM3,hydro,Mm3/j,barrage,NEW_CANONICAL_REQUIRED
staging,raw_mesures_niv_eau_barrages,transfert_mm3,transfert_mm3,8035,TRANSFERT,hydro,Mm3/j,barrage,NEW_CANONICAL_REQUIRED
hydro,mesure_debit,structural,DEBIT,652446,DEBIT,hydro,m3/s,station,OK
meteo,mesure_precipitation,structural,PRECIPITATION,546007,PRECIPITATION,meteo,mm,station,OK
meteo,mesure_evaporation,structural,EVAPORATION,48900,EVAPORATION,meteo,mm,station,OK
meteo,mesure_temperature,structural,TEMPERATURE_MIN_MAX_MOY,0,TEMPERATURE,meteo,C,station,BACKLOG_EMPTY_TABLE
qualite,mesure_qualite_riviere,parametre_qualite,COND,1992,CONDUCTIVITE,qualite,,station,UNMAPPED_ACTIVE
qualite,mesure_qualite_riviere,parametre_qualite,O2_DISSOUS,1970,O2_DISS,qualite,,station,UNMAPPED_ACTIVE
qualite,mesure_qualite_riviere,parametre_qualite,PT,1964,PHOSPHORE_TOTAL,qualite,,station,UNMAPPED_ACTIVE
qualite,mesure_qualite_riviere,parametre_qualite,NO3,1930,NO3-,qualite,,station,UNMAPPED_ACTIVE
qualite,mesure_qualite_nappe,parametre_qualite,COND,2658,CONDUCTIVITE,qualite,,nappe,UNMAPPED_ACTIVE
qualite,mesure_qualite_sebou,parametre_qualite,Conductivité,4553,CONDUCTIVITE,qualite,,station,UNMAPPED_ACTIVE
qualite,suivi_qualite_barrage_garde_hebdo,parametre_qualite,O2_DISSOUS,93,O2_DISS,qualite,,barrage,UNMAPPED_ACTIVE
swat_output,ref_parametre_qualite,param_code,FLOW,,DEBIT,modele,,subbasin,MODEL_MAPPING_REQUIRED
swat_output,ref_parametre_qualite,param_code,NO3,,NO3-,modele,,subbasin,MODEL_MAPPING_REQUIRED
wasp_output,ref_parametre_qualite,code_parametre,DO,,O2_DISS,modele,,segment,MODEL_MAPPING_REQUIRED
wasp_output,ref_parametre_qualite,code_parametre,FLOW,,DEBIT,modele,,segment,MODEL_MAPPING_REQUIRED
qualite,source_pollution_mesure_param,param_code_legacy,PARAM_CODE_LEGACY,7191,REFERENTIEL_A_COMPLETER,qualite,,source_pollution,BACKLOG_MAPPING_DETAIL
