source_row_id,ire_barrage,date_jr,barrage_id,rn,exclusion_reason
81960,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,1,DATE_NULL
81961,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,2,DATE_NULL
81962,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,3,DATE_NULL
81963,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,4,DATE_NULL
81964,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,5,DATE_NULL
81965,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,6,DATE_NULL
81966,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,7,DATE_NULL
81967,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,8,DATE_NULL
81968,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,9,DATE_NULL
81969,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,10,DATE_NULL
81970,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,11,DATE_NULL
81971,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,12,DATE_NULL
81972,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,13,DATE_NULL
81973,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,14,DATE_NULL
81974,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,15,DATE_NULL
81975,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,16,DATE_NULL
81976,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,17,DATE_NULL
81977,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,18,DATE_NULL
81978,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,19,DATE_NULL
81979,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,20,DATE_NULL
81980,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,21,DATE_NULL
81981,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,22,DATE_NULL
81982,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,23,DATE_NULL
81983,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,24,DATE_NULL
81984,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,25,DATE_NULL
81985,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,26,DATE_NULL
81986,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,27,DATE_NULL
81987,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,28,DATE_NULL
81988,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,29,DATE_NULL
81989,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,30,DATE_NULL
81990,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,31,DATE_NULL
81991,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,32,DATE_NULL
81992,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,33,DATE_NULL
81993,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,34,DATE_NULL
81994,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,35,DATE_NULL
81995,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,36,DATE_NULL
81996,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,37,DATE_NULL
81997,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,38,DATE_NULL
81998,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,39,DATE_NULL
81999,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,40,DATE_NULL
82000,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,41,DATE_NULL
82001,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,42,DATE_NULL
82002,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,43,DATE_NULL
82003,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,44,DATE_NULL
82004,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,45,DATE_NULL
82005,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,46,DATE_NULL
82006,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,47,DATE_NULL
82007,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,48,DATE_NULL
82008,1496/9,,c976729e-0797-41f8-b99a-a7f43cded743,49,DATE_NULL
