old,new,reason,risk,refs_to_update,execute_lot
docs/04_migrations_bloc3_recap.md,docs/12_historique_et_archives/root_legacy/04_migrations_bloc3_recap.md,Document racine historique de migration/audit à archiver,low,0,A
docs/05_bloc4_plan_implementation.md,docs/12_historique_et_archives/root_legacy/05_bloc4_plan_implementation.md,Document racine historique de migration/audit à archiver,low,0,A
docs/06_audit_idp_qualite.md,docs/12_historique_et_archives/root_legacy/06_audit_idp_qualite.md,Document racine historique de migration/audit à archiver,medium,2,A
docs/10_master_plan_convergence_abh_sad.md,docs/12_historique_et_archives/root_legacy/10_master_plan_convergence_abh_sad.md,Document racine historique de migration/audit à archiver,low,0,A
docs/11_catalogue_decision_tables.md,docs/12_historique_et_archives/root_legacy/11_catalogue_decision_tables.md,Document racine historique de migration/audit à archiver,medium,2,A
docs/12_lot1_barrages_audit_ab.md,docs/12_historique_et_archives/root_legacy/12_lot1_barrages_audit_ab.md,Document racine historique de migration/audit à archiver,medium,1,A
docs/12_lot2_stations_audit_ab.md,docs/12_historique_et_archives/root_legacy/12_lot2_stations_audit_ab.md,Document racine historique de migration/audit à archiver,medium,1,A
docs/12_lot3a2_mensuels_debug.md,docs/12_historique_et_archives/root_legacy/12_lot3a2_mensuels_debug.md,Document racine historique de migration/audit à archiver,medium,1,A
docs/12_lot3a_debits_audit_ab.md,docs/12_historique_et_archives/root_legacy/12_lot3a_debits_audit_ab.md,Document racine historique de migration/audit à archiver,medium,1,A
docs/12_lot3b_meteo_audit_ab.md,docs/12_historique_et_archives/root_legacy/12_lot3b_meteo_audit_ab.md,Document racine historique de migration/audit à archiver,medium,1,A
docs/12_lot4a1b_dictionnaire_parametres_valide.md,docs/12_historique_et_archives/root_legacy/12_lot4a1b_dictionnaire_parametres_valide.md,Document racine historique de migration/audit à archiver,low,0,A
docs/12_lot4a1_dictionnaire_parametres.md,docs/12_historique_et_archives/root_legacy/12_lot4a1_dictionnaire_parametres.md,Document racine historique de migration/audit à archiver,medium,1,A
