Ancien Schema,Ancienne Table,Lignes,Taille,Nouveau Schema,Nouvelle Table,Commentaire
public,mesures_precipitations_jr,669880,57 MB,meteo,mesure_precipitation,Migration Réalisée
public,mesures_precipitations_jr_traitees,546007,52 MB,meteo,_legacy_mesures_precip,Migration Réalisée
public,mesures_debit_jr,521433,38 MB,hydro,mesure_debit,Migration Réalisée
public,mesures_niv_eau_barrages,85166,8768 kB,hydro,mesure_barrage,Migration Réalisée
public,spatial_ref_sys,8500,7144 kB,public,spatial_ref_sys,Système (PostGIS)
public,bathymetries_barrages_abhs,62359,6720 kB,hydro,barrage_bathymetrie,Migration Réalisée
public,adm_communes_abhs,346,5760 kB,admin,commune,Migration Réalisée
public,mesures_qualite_nappes,63088,5200 kB,qualite,_legacy_qualite_nappe,Migration Réalisée
public,mesures_qualite_rivieres,60097,5000 kB,qualite,_legacy_qualite_riviere,Migration Réalisée
public,suivi_qualite_sebou_jr,51402,4440 kB,qualite,suivi_qualite_sebou,Migration Réalisée
public,mesures_evaporation_jr,48900,3576 kB,meteo,_legacy_evaporation,Migration Réalisée
public,adm_cercles_abhs,61,2952 kB,admin,cercle,Migration Réalisée
public,adm_provinces_abhs,21,1920 kB,admin,province,Migration Réalisée
public,mesures_debit_m,19316,1680 kB,hydro,_legacy_mesures_debit,Migration Réalisée
public,adm_regions_abhs,6,1248 kB,admin,region,Migration Réalisée
public,sous_bassin_sebou,15,1136 kB,geo,sous_bassin,Migration Réalisée
public,mesures_qualite_barrages,8714,848 kB,qualite,_legacy_qualite_barrage,Migration Réalisée
public,adm_douars_abhs,6013,816 kB,admin,douar,Migration Réalisée
public,reseau_hydro_abhs,28,712 kB,geo,_legacy_reseau_hydro,Migration Réalisée
public,suivi_qualite_brg_garde_hebdo,7094,672 kB,qualite,_legacy_brg_garde,Migration Réalisée
public,profils_stations,1980,328 kB,infra,station_profil,Migration Réalisée
public,mesures_precipitations_jr_max,2085,320 kB,meteo,_legacy_precip_max,Migration Réalisée
public,mesures_debit_sources,2816,296 kB,hydro,_legacy_debit_sources,Migration Réalisée
public,nappes_abhs,17,216 kB,geo,nappe,Migration Réalisée
public,huileries_abhs,612,208 kB,infra,huilerie,Migration Réalisée
public,stations_abhs,390,136 kB,infra,station_mesure,Migration Réalisée
public,rejets_domestiques_abhs,362,112 kB,infra,rejet_domestique,Migration Réalisée
public,decharges_abhs,233,96 kB,infra,decharge,Migration Réalisée
public,step_abhs,41,64 kB,infra,step,Migration Réalisée
public,points_eau_abhs,46,64 kB,infra,point_eau,Migration Réalisée
public,sources_abhs,135,56 kB,infra,source,Migration Réalisée
public,bassin_sebou,1,32 kB,geo,bassin_versant,Migration Réalisée
public,adm_villes_abhs,33,32 kB,admin,ville,Migration Réalisée
public,mines_abhs,42,32 kB,infra,mine,Migration Réalisée
public,rejets_abattoirs_abhs,61,32 kB,infra,rejet_abattoir,Migration Réalisée
public,fosses_septiques_abhs,20,32 kB,infra,_legacy_fosses,Migration Réalisée
public,rejets_ind_abhs,11,32 kB,infra,rejet_industriel,Migration Réalisée
public,step_ind_abhs,15,32 kB,infra,_legacy_step_ind,Migration Réalisée
public,stm_abhs,18,32 kB,infra,_legacy_stm,Migration Réalisée
public,types_mesures,64,32 kB,admin,catalogue_type_mesure,Migration Réalisée
public,barrages_abhs,34,32 kB,infra,barrage,Migration Réalisée
public,capteurs_abhs,0,16 kB,infra,_legacy_capteurs,Migration Réalisée
public,mesures_temperatures_jr,0,16 kB,meteo,mesure_temperature,Migration Réalisée
