arbitrage_id,priority,anomaly_type,source_layer_a,source_feature_id_a,source_layer_b,source_feature_id_b,match_method,match_score,distance_m,site_name_a,site_name_b,commune_a,commune_b,recommended_status,business_decision,comments
a89f282f-8660-4265-8d27-625803f85f57,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_globale,174,idp_mesures_qualité_globale_2024,0,ID_EXACT+NOM_COMMUNE,1.0,,REJET R1 (R1: SHZ-DOM2-R1),REJET R1 (R1: SHZ-DOM2-R1),,,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
95588517-e683-492e-8f4d-b1172f3d2dac,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_globale,185,idp_mesures_qualité_globale_2024,1,ID_EXACT+NOM_COMMUNE,1.0,,REJET R2 (R2: SHZ-DOM2-R2),REJET R2 (R2: SHZ-DOM2-R2),,,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
8b897381-3ba3-435c-ba1a-0f8db63a023d,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_globale,196,idp_mesures_qualité_globale_2024,2,ID_EXACT+NOM_COMMUNE,1.0,,REJET R3  (R3: SHZ-DOM1-R1),REJET R3  (R3: SHZ-DOM1-R1),,,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
fc9f83b1-3e8e-4588-af8f-47809f67e958,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_globale,150,idp_mesures_qualité_globale_2024,3,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,S1 (Aval_conf_Rejet_MOG (Mograne),S1 (Aval_conf_Rejet_MOG (Mograne),Mograne,Mograne,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
a79b8688-9b4f-4c36-b5e5-b648efc498d1,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,0,idp_mesures_qualité_marche_cadre_2024,0,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
b8396149-8111-45f6-88db-f5d27e7d7aa2,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,1,idp_mesures_qualité_marche_cadre_2024,1,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
18b5784e-4713-4920-b927-c063e3a70261,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,2,idp_mesures_qualité_marche_cadre_2024,2,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
05fe36da-d9b2-470b-9260-e46d8a13553e,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,3,idp_mesures_qualité_marche_cadre_2024,3,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
7aff64ab-1e06-4f8e-9806-39b78e0e2d3b,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,4,idp_mesures_qualité_marche_cadre_2024,4,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
3b0ac645-f175-423b-a4fc-3dc250126c87,P1,INVENTORY_TO_MEASURE_MATCH,idp_src_pollution_marche_cadre,5,idp_mesures_qualité_marche_cadre_2024,5,ID_EXACT+COORD_EXACT+NOM_COMMUNE,1.0,0.0,FORAGE ABD NBI BOUTABEQ,FORAGE ABD NBI BOUTABEQ,Bouknadel,Bouknadel,VALIDATED_MATCH_CANDIDATE,,"Recommandation automatique haute confiance, à valider métier."
