review_id,review_bucket,source_layer,source_id,source_object_name,source_type,candidate_master_site_id,candidate_site_name,distance_m,match_score,issue_type,suggested_action,reviewer_decision,reviewer_comment,allowed_decisions
002e3749-2bf1-5b72-b3cd-d1988aeb348d,TRUE_AMBIGUOUS,infra.huilerie,534,H.mostapha bakir,HUILERIE,ac6176c6-6cf1-4264-97bc-436dda75cc16,Bakir Mustafa,10.18949439372149,0.4492,POSSIBLE_WRONG_MATCH,WAIT_BUSINESS_DECISION,,,ACCEPT_MATCH|KEEP_SEPARATE|SAME_SITE_DIFFERENT_OBJECT|NEED_FIELD_VALIDATION|WAIT_BUSINESS_DECISION
f55ea2f8-9847-5f90-8a6f-4a8fe0803f7d,TRUE_AMBIGUOUS,infra.mine,17,,MINE,53d41cac-403b-486a-a01f-03d44d66cdbb,343189.00000000000,0.36055512754317015,0.54,GEOMETRY_SUSPICIOUS,NEED_FIELD_VALIDATION,,,ACCEPT_MATCH|KEEP_SEPARATE|SAME_SITE_DIFFERENT_OBJECT|NEED_FIELD_VALIDATION|WAIT_BUSINESS_DECISION
2a1128de-ed65-540c-8a4a-18dfd986a717,TRUE_AMBIGUOUS,infra.decharge,14,,DECHARGE,38f7c930-8351-4b4e-9adc-b4c99b38ebe7,ATM-DECH,0.42011903073592827,0.54,GEOMETRY_SUSPICIOUS,NEED_FIELD_VALIDATION,,,ACCEPT_MATCH|KEEP_SEPARATE|SAME_SITE_DIFFERENT_OBJECT|NEED_FIELD_VALIDATION|WAIT_BUSINESS_DECISION
985a534d-4dc8-4509-83a0-b12f6457268c,ORPHAN_REVIEW,infra.decharge,1,abdelghaya souahel,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
48896de1-57f4-4708-af44-3e12f9130083,ORPHAN_REVIEW,infra.decharge,213, abdellah aghazi,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
5248aa8a-e784-4d09-9eb9-33dcd68dfdf8,ORPHAN_REVIEW,infra.decharge,220,lakriaat,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
26f5a3b0-b519-4fb5-a64f-cdd205e13964,ORPHAN_REVIEW,infra.decharge,5,bni bouchibet,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
3de86d50-495e-4684-b76b-68d2db684702,ORPHAN_REVIEW,infra.decharge,62,souk el arbaa,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
ce6f5de2-4a0a-445d-81f2-0a6baab00aa3,ORPHAN_REVIEW,infra.decharge_inventaire_pollution_general,63b2199f-73e3-4674-a0bb-1b98da2ec4f1,Abdellah aghazi,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
76afba5f-a0ba-4402-b4e6-d3fb2019cb11,ORPHAN_REVIEW,infra.decharge_inventaire_pollution_general,dd44f8f2-ffc0-49c7-bac3-a36217215403,Bni bouchibet,DECHARGE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
