source_layer,source_feature_id,point_name,commune,sample_date,sample_time,raw_parameter_code,raw_value,x,y
idp_mesures_qualité_marche_cadre_2024,0,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_enregest,180-999-1-8,381040,389473
idp_mesures_qualité_marche_cadre_2024,0,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_ordre,1190,381040,389473
idp_mesures_qualité_marche_cadre_2024,0,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_indice,13,381040,389473
idp_mesures_qualité_marche_cadre_2024,0,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,parametre_,IP,381040,389473
idp_mesures_qualité_marche_cadre_2024,0,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,val_qual,"<0,45",381040,389473
idp_mesures_qualité_marche_cadre_2024,1,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_enregest,180-999-1-8,381040,389473
idp_mesures_qualité_marche_cadre_2024,1,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_ordre,1190,381040,389473
idp_mesures_qualité_marche_cadre_2024,1,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_indice,13,381040,389473
idp_mesures_qualité_marche_cadre_2024,1,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,parametre_,NH4+ Spect,381040,389473
idp_mesures_qualité_marche_cadre_2024,1,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,val_qual,"<0,016",381040,389473
idp_mesures_qualité_marche_cadre_2024,2,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_enregest,180-999-1-8,381040,389473
idp_mesures_qualité_marche_cadre_2024,2,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_ordre,1190,381040,389473
idp_mesures_qualité_marche_cadre_2024,2,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,n_indice,13,381040,389473
idp_mesures_qualité_marche_cadre_2024,2,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,parametre_,NH4+,381040,389473
idp_mesures_qualité_marche_cadre_2024,2,FORAGE ABD NBI BOUTABEQ,Bouknadel,2025/10/06,11H50,val_qual,"<0,020",381040,389473
