raw_source_type,canonical_source_type_code,canonical_source_type_label,pollution_category,is_active,validation_status,validated_by,comments
R-KRB_PDE_P2,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
RZI_DEC_PE1 (Puits Fouad ELBRINI),,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AVAL AIN KARMA,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AVAL REJET MOULAY DRISS ZARHOUN,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AVAL REJET BOUFEKRANE,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
ARB_DECH1_PE1 (AIN LABROUAL),,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
TAZ_PDOM_R9,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
REJET STEP TIFLET,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
DBA_DOM1_R1,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AKA_PDOM1_R1,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
SDK_DOM1_R2,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AMONT SOUK ELAHAD CHEBANATE,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AID_DOM1_R4,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
DDZ_PDOM1_R1,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
RG_AIS_1,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
SAH_DOM1_R1,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AID_DOM1_R4 (AIN DFALI),,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
NBA_PDOM1_R1,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AMONT STEP MECHRAA BEL KSIRI,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AVAL STEP MECHRAA BEL KSIRI,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AVAL STEP SIDI SLIMANE,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
SIDI MOKHFI,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
PONT KHENICHET,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
STATION PONT MECHRAA BEL KSIRI,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
AMONT KENITRA,,,,true,TO_VALIDATE,,Valeur candidate issue des libellés de sites; à confirmer comme typologie ou simple nom de point.
