source_schema,source_table,source_pk,source_label,source_code,source_type,source_commune,candidate_master_site_id,candidate_site_code,candidate_site_name,match_method,match_score,distance_m,source_priority,recommended_status,requires_review,reason,run_id,generated_at
infra,step,8,,ZAG_DOM,STEP,,,,,SPATIAL_NEAREST_25M,0.0,,3,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,step,9,,ZAG_DOM,STEP,,,,,SPATIAL_NEAREST_25M,0.0,,3,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,step_inventaire_pollution,5db5b9da-f1d7-4812-b80b-914178feec97,,ZAG_DOM,STEP,Zeggota,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,82,Huilerie Doukali,KHM-UT-2,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,90,Huilerie IHYHAA,ASB-UT-2,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,87,Huilerie CHAIBI,SFF-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,262,Société Barakat allah,BJT-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,12,Societe Hajjy Invest,MSR-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,16,Huilerie Aromane ,BBT-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,20,Olivier El Hmaidii,BAC-UT-2,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,429,Les huileries de meknes 1,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,347,Najat,T-UT-02,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,348,Sté oumatan,T-UT-01,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,329,Huile taza,T-UT-02,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,557,ZYOUT MEKNESS,AYO-UT-01,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,427,EVOO FACTORY,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,428,ALBADIYA OLIVE OIL SARL AU,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,458,Non-connue 7,KSK_UT01,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,257,Huilerie Ain jouari,AMT-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,261,Huilerie Tamidet,BJT-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,263,Huilerie Serraf Ikhouan,BJT-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,237,Huilerie Quassemy Fréres,TZG-UT-2,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,238,Huilerie Jaouda,TZG-UT-1,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,510,Dika Food,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,332,Huile bouchfaa,B-UT-02,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,480,Ste Abbou,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,482,Bouno huiles,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,486,Ste Sofa Huile,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,497,Siof,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,501,Ste Nouvelles huiles Abdo,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,504,SILICO,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,505,Ste BOUAYAD ,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,506,Ste BOUAANAN,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,508,Ste Ben Chekroun Jamai,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,509,Idriss Hadachi,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,511,Oli Argana,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,512,Larbi de huile et céreales,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,610,Conserves bio,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,612,Les coserves oualili,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,611,Les conserves de meknes (aicha),,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,327,Barada fréro,BF-UT-02,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,314,Sté boulmakol,B-UT-01,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
