"case_type","source_layer","source_object_id","source_name","source_type","master_site_id","master_site_name","distance_m","match_score","reason","recommended_action"
"CONFLICT_TO_VALIDATE","infra.huilerie","534","H.mostapha bakir","HUILERIE","ac6176c6-6cf1-4264-97bc-436dda75cc16","Bakir Mustafa","10.18949439372149","0.4492","distance=10.19m; nom=0.33; commune=0.00; priorite=4","MANUAL_REVIEW"
"CONFLICT_TO_VALIDATE","infra.mine","17","","MINE","53d41cac-403b-486a-a01f-03d44d66cdbb","343189.00000000000","0.36055512754317015","0.54","distance=0.36m; nom=0.00; commune=0.00; priorite=4","MANUAL_REVIEW"
"CONFLICT_TO_VALIDATE","infra.decharge","14","","DECHARGE","38f7c930-8351-4b4e-9adc-b4c99b38ebe7","ATM-DECH","0.42011903073592827","0.54","distance=0.42m; nom=0.00; commune=0.00; priorite=4","MANUAL_REVIEW"
"ORPHAN","infra.decharge","1","abdelghaya souahel","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge","213","abdellah aghazi","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge","220","lakriaat","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge","5","bni bouchibet","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge","62","souk el arbaa","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge_inventaire_pollution_general","63b2199f-73e3-4674-a0bb-1b98da2ec4f1","Abdellah aghazi","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge_inventaire_pollution_general","dd44f8f2-ffc0-49c7-bac3-a36217215403","Bni bouchibet","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.decharge_inventaire_pollution_general","fbb5a30a-7c18-4d6c-97e0-ada925082995","Abdelghaya souahel","DECHARGE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.fosses_septiques_abhs","7","","FOSSE_SEPTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","114","H.SOUK SABT","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","12","Societe Hajjy Invest","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","16","Huilerie Aromane ","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","20","Olivier El Hmaidii","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","237","Huilerie Quassemy Fréres","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","238","Huilerie Jaouda","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","257","Huilerie Ain jouari","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","261","Huilerie Tamidet","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","262","Société Barakat allah","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","263","Huilerie Serraf Ikhouan","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","314","Sté boulmakol","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","317","Meknasa olive","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","327","Barada fréro","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","329","Huile taza","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","332","Huile bouchfaa","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","347","Najat","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","348","Sté oumatan","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","427","EVOO FACTORY","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","428","ALBADIYA OLIVE OIL SARL AU","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","429","Les huileries de meknes 1","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","458","Non-connue 7","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","485","Huilerie IDRISSIA","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","557","ZYOUT MEKNESS","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","610","Conserves bio","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","611","Les conserves de meknes (aicha)","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","612","Les coserves oualili","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","82","Huilerie Doukali","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","87","Huilerie CHAIBI","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie","90","Huilerie IHYHAA","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","3ee1833e-4611-425e-82e4-558231a78bdf","Sté boulmakol","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","4143059d-4ad8-418b-bd22-d82174f26e45","Societe Hajjy Invest","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","4bf6a654-fff4-4538-b8fd-5af64004b5aa","Huilerie CHAIBI","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","5232a595-5fbb-4993-b058-cfd5d954b3a2","Huile taza","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","73607441-f39a-4bf6-a5af-af7b19fa0b02","Huilerie Tamidet","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","80bb765f-d3a9-4fe5-8322-071356943836","Olivier El Hmaidii","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","88d988b5-bc19-4a19-838e-aab54ada5555","Huilerie Serraf Ikhouan","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","8a735aab-52b1-43c2-9ae8-04359e0df138","Najat","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","8e0de048-4d65-4c79-818b-31b01696a92e","Huilerie Aromane","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","8f8ae2fb-0414-48ba-81f2-e97e45205bd4","Huilerie Quassemy Fréres","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","a2478ab2-0ed4-41c8-a76a-66b785dd7247","Société Barakat allah","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","a394a40d-c29a-4f74-9365-98fe3ad509b6","Barada fréro","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","bee862d4-e639-46aa-9510-d12768d716b7","Huilerie IHYHAA","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","c193b12b-dea4-4bdf-b1cc-12ce2cfff8db","H.SOUK SABT","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","cf2c8e07-4ebf-4fa5-95b8-8761f3b90d8c","Huile bouchfaa","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","d1672de6-95e8-4a18-b4cd-d63555e9c986","Non-connue 7","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","d72727de-e1f7-4a38-9680-b4d0f3fae5de","Huilerie Ain jouari","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","e5a6e526-4fdd-4a7e-985a-62ad199178ee","Huilerie Doukali","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","ea9bdacc-9717-4ba3-a1db-3523ba30a836","Sté oumatan","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","fe92cdf1-ccb9-41ae-be30-9da27435169d","Meknasa olive","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.huilerie_inventaire_pollution","feddb89f-d453-40d6-ae48-f1535dad056e","Huilerie Jaouda","HUILERIE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","10","","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","23","Ste miniere de Taza","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","24","STE HERIIERS LAFQUIH 1","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","27","Salt factory","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","40","STE SORECH  MINES","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","41","","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine","42","","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine_inventaire_pollution","240d9b88-6e84-4c1d-a578-105427919c46","","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine_inventaire_pollution","6b770e03-98c2-450b-bde5-52d7afd2f7b1","Salt factory","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine_inventaire_pollution","825a0aeb-4429-42d1-b7e5-cafede78085a","STE SORECH  MINES","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.mine_inventaire_pollution","d1702768-81c2-4650-91a3-d0467ea4d0eb","STE HERIIERS LAFQUIH 1","MINE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","157","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","172","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","209","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","231","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","280","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","309","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","311","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","331","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","332","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
"ORPHAN","infra.rejet_domestique","360","","REJET_DOMESTIQUE","","","","","WAIT_SOURCE_FIX","WAIT_SOURCE_FIX_OR_REVIEW_MAPPING"
